Date,China_IRS10
2006-05,-0.03209141695598139
2006-06,0.06084151332487475
2006-07,0.04768271354849518
2006-08,-0.01908562543909431
2006-09,-0.08651865969231298
2006-10,-0.007037062609695943
2006-11,0.03170180966672986
2006-12,0.002186890009346021
2007-01,-0.013650232523228722
2007-02,0.070593869626832
2007-03,0.09017266515483713
2007-04,0.0605966698917062
2007-05,0.15100856959143716
2007-06,0.031597721900224585
2007-07,0.0802399898911601
2007-08,-0.029904092278014827
2007-09,-0.0017867630267432988
2007-10,-0.027833338559784315
2007-11,-0.051837048609395864
2007-12,0.0028753794776494868
2008-01,-0.09032190442660748
2008-02,0.0013610953652298807
2008-03,-0.04274213699192431
2008-04,0.024082285094138456
2008-05,0.029903321713088404
2008-06,0.18352925255584873
2008-07,-0.07415335981886706
2008-08,-0.03759513078912735
2008-09,-0.18067891336679676
2008-10,-0.21934834265185155
2008-11,-0.2097927897145152
2008-12,-0.10408241428299414
2009-01,0.2675742674156114
2009-02,0.13020178263694637
2009-03,0.16881192164920544
2009-04,0.053655597908419894
2009-05,-0.013691060728488358
2009-06,0.16169412094973556
2009-07,0.09504735971346179
2009-08,-0.00611605574661056
2009-09,0.05016884285018275
2009-10,0.05907964314952552
2009-11,-0.10044344551493634
2009-12,0.06476759870171067
2010-01,0.013140526212901849
2010-02,-0.012825495912315854
2010-03,-0.005930350014224817
2010-04,-0.08145403153544173
2010-05,-0.112596582379348
2010-06,0.021588490301898133
2010-07,-0.05115256380223798
2010-08,-0.06879750184017208
2010-09,0.08377852219273652
2010-10,0.17865094135289405
2010-11,0.10235650328623458
2010-12,-0.019568861691283912
2011-01,0.10200151630022747
2011-02,-0.0009352119986494323
2011-03,-0.014277596725405295
2011-04,-0.0050818700913101145
2011-05,-0.039366955610886545
2011-06,0.028713055793395226
2011-07,0.025294878179450198
2011-08,-0.03233558396711955
2011-09,-0.11975957268270299
2011-10,0.025924623821047765
2011-11,-0.16766517833438477
2011-12,-0.044516509701577056
2012-01,0.10206617926728234
2012-02,0.08784913375842573
2012-03,-0.034428921457132944
2012-04,0.038014987861942684
2012-05,-0.1856984826123662
2012-06,0.012509394692721498
2012-07,-0.014662080509259767
2012-08,0.12518387058865144
2012-09,0.03166047635442926
2012-10,0.07357321505871361
2012-11,0.0773708470695067
2012-12,0.004452678256164244
2013-01,0.022575644447103693
2013-02,-0.015617246537893203
2013-03,-0.0032991167445812764
2013-04,-0.03183778688192751
2013-05,0.006453234263819052
2013-06,0.07061736765128002
2013-07,0.07418687854260142
2013-08,0.05287925688084738
2013-09,-0.028984081861599842
2013-10,0.04352174581464907
2013-11,0.07485459085198265
2013-12,0.12206390093154251
2014-01,-0.0635672391605625
2014-02,-0.08134362433196407
2014-03,-0.017823608739563124
2014-04,-0.1119883539731471
2014-05,-0.040753772309593206
2014-06,0.07938457312385006
2014-07,0.04256885817943168
2014-08,-0.10087668547700157
2014-09,-0.08544442656249962
2014-10,-0.043245691891799165
2014-11,-0.07342182959432741
2014-12,0.1345355619124733
2015-01,-0.07632481739584318
2015-02,-0.04460018548468725
2015-03,0.14334172228909092
2015-04,-0.22487318373312704
2015-05,0.09345287879886333
2015-06,-0.025612918130810125
2015-07,0.02749732849762565
2015-08,-0.08433938509170735
2015-09,0.020290033849827305
2015-10,-0.039921072849734895
2015-11,-0.0025155047323474067
2015-12,-0.051416666427408275
2016-01,-0.019469325074534805
2016-02,-0.01765593744317151
2016-03,0.07406330465737732
2016-04,0.12588021839989505
2016-05,-0.09679262942542333
2016-06,-0.022493377496594302
2016-07,-0.02484896905787437
2016-08,0.010435739737115535
2016-09,0.021417191195212126
2016-10,0.03681821300541932
2016-11,0.14279018190920567
2016-12,0.16515696985107242
2017-01,0.008861127251597933
2017-02,0.007095311242776958
2017-03,-0.01665408293646209
2017-04,0.03161448010512102
2017-05,-0.02763864994357812
2017-06,-0.022785553153276017
2017-07,-0.05751300626643596
2017-08,0.044389217378082435
2017-09,-0.025318722262204774
2017-10,0.043418413950405466
2017-11,0.005252458298440343
2017-12,0.02809912962849115
2018-01,0.03968744558055426
2018-02,-0.028259839437412837
2018-03,-0.04224593190646353
2018-04,-0.017949915789284066
2018-05,-0.025192608731290034
2018-06,-0.11417957691034653
2018-07,-0.056944112287845794
2018-08,0.03144322859806259
2018-09,0.011133806056134565
2018-10,-0.05179408518141537
2018-11,0.0036662715092647957
2018-12,-0.04039377724073112
2019-01,0.0080389938235772
2019-02,0.04951982117396447
2019-03,-0.019278548612536972
2019-04,0.0702266985256832
2019-05,-0.06237728982569435
2019-06,-0.037896504896190564
2019-07,-0.008295737690638627
2019-08,-0.036975417704535496
2019-09,0.018381270467209276
2019-10,0.06863250655951414
2019-11,-0.054669194612315786
2019-12,0.019332682884492858
2020-01,-0.023339231073310263
2020-02,-0.11325413945051133
2020-03,-0.08934922273527035
2020-04,-0.09700384423225483
2020-05,0.06039060533652374
2020-06,0.12490095859377792
2020-07,0.10124762299702184
2020-08,0.03850368275657856
2020-09,0.007949096067805694
2020-10,0.010371248579096992
2020-11,0.049864100252648313
2020-12,-0.019455778561955017
2021-01,0.06024146365340943
2021-02,0.03362309272666564
2021-03,-0.05421073505079532
2021-04,-6.19272286007666e-05
2021-05,0.006922624841054326
2021-06,-0.010361469904231257
2021-07,-0.0650879981420387
2021-08,-0.0049342157034002465
2021-09,0.014320601440256153
2021-10,0.035513791876181866
2021-11,-0.035955558690340395
2021-12,-0.03516905346478094
2022-01,-0.04997142164707469
2022-02,0.06599860376869948
2022-03,-0.0031024850543776017
