Date,Australia_IRS10
1988-07,0.02092450452298844
1988-08,-0.01961553726392018
1988-09,-0.014899070365940403
1988-10,0.05055599608175454
1988-11,0.08379728632141403
1988-12,-0.0039368157539678705
1989-01,0.07324777219389911
1989-02,-0.08695144408035094
1989-03,0.016052907806567873
1989-04,-0.04238858321034866
1989-05,-0.02156479111621068
1989-06,-0.016130749440424808
1989-07,-0.0059206280062956695
1989-08,-0.013447114318975273
1989-09,0.0612336048035409
1989-10,0.012006907578987924
1989-11,-0.028139424696445925
1989-12,-0.012602188586073537
1990-01,-0.02447952720137958
1990-02,0.023347830894526966
1990-03,-0.009501144274715045
1990-04,0.016051404397094293
1990-05,0.0022133811934965664
1990-06,0.019574475355373266
1990-07,-0.015537345263540114
1990-08,0.032616215419160266
1990-09,0.009539343651916665
1990-10,-0.07537410365927233
1990-11,-0.07180692223571339
1990-12,0.0028753251030655402
1991-01,-0.01873101269650579
1991-02,0.005572918374201041
1991-03,-0.025854300891362425
1991-04,-0.024022401572616037
1991-05,-0.04562626908619516
1991-06,0.03786693727150725
1991-07,-0.008229463602206777
1991-08,-0.009271438099713758
1991-09,-0.03962474102595892
1991-10,-0.07207610791070496
1991-11,-0.0022041227154784293
1991-12,-0.06871830084607367
1992-01,0.07275794454209716
1992-02,-0.00013545903817213656
1992-03,-0.005620910184790606
1992-04,-0.0540845384481875
1992-05,-0.016536184530257514
1992-06,-0.057495244505305965
1992-07,-0.057453709194184355
1992-08,0.030035874202577473
1992-09,-0.003066828328935234
1992-10,-0.03886021033381226
1992-11,-0.0012287736429368312
1992-12,0.0017677594249532191
1993-01,-0.061768547108976724
1993-02,-0.06011846087827333
1993-03,0.004963518293903624
1993-04,-0.047900818140555024
1993-05,-0.015910545442320734
1993-06,-0.050049435721994606
1993-07,-0.018500389004440176
1993-08,-0.07755372851488485
1993-09,-0.0129435283766558
1993-10,-0.023650972602402898
1993-11,0.04992871268674226
1993-12,0.00699291294655513
1994-01,0.0038450882151421784
1994-02,0.10196598563516956
1994-03,0.12447469218761475
1994-04,0.07812575837986846
1994-05,0.06004244692320371
1994-06,0.09859070648512258
1994-07,-0.012244159700519508
1994-08,-0.018489065138825644
1994-09,0.0916298913480047
1994-10,0.024087960203681424
1994-11,0.0361902501715341
1994-12,-0.04132131023093222
1995-01,0.018221361992035057
1995-02,-0.0717022160199916
1995-03,-0.017827863747745254
1995-04,-0.021741555778578725
1995-05,-0.09076778407097097
1995-06,0.020237815120822233
1995-07,0.057131658197715485
1995-08,-0.03323051751031869
1995-09,-0.041486302027267996
1995-10,0.03646752908167028
1995-11,-0.08496101192778927
1995-12,0.0017951063343446538
1996-01,-0.016434139725812424
1996-02,0.097847262539692
1996-03,0.05408134020807709
1996-04,-0.015212491173664522
1996-05,0.0313868186773536
1996-06,-0.023720994709494514
1996-07,-0.06346603722219668
1996-08,-0.008730836342545012
1996-09,-0.03600437509975418
1996-10,-0.05374769183800443
1996-11,-0.0013068343576183583
1996-12,0.0265439769887037
1997-01,-0.04314931640873154
1997-02,0.06511457182624536
1997-03,0.045293717360528785
1997-04,-0.022096431828111607
1997-05,-0.07819211872803677
1997-06,-0.06027820438732556
1997-07,-0.10332719064891538
1997-08,0.019263181718333078
1997-09,-0.06455981907955843
1997-10,-0.04115000392176449
1997-11,0.0026124123412580857
1997-12,-0.07846154388626292
1998-01,0.030892987564268948
1998-02,0.015809387038417055
1998-03,-0.06143118504920564
1998-04,-0.016763300800733627
1998-05,-0.10008371242860759
1998-06,0.024712031330991202
1998-07,-0.019574186768847812
1998-08,-0.006214244288509696
1998-09,-0.07043179359362373
1998-10,0.049406964974742174
1998-11,-0.01011398666252028
1998-12,-0.04488784925675571
1999-01,0.050580816381694094
1999-02,0.05407729888517543
1999-03,0.010469990152091935
1999-04,0.06499198043007093
1999-05,0.056825882348372714
1999-06,0.08556791443497302
1999-07,-0.016921273067334375
1999-08,0.005436174777004199
1999-09,-0.017886791573917926
1999-10,0.02605327792573453
1999-11,-0.0063231043221368965
1999-12,0.08291014099884753
2000-01,0.007097839430920461
2000-02,-0.09858352503861412
2000-03,-0.03905045614744296
2000-04,-0.04703089479666589
2000-05,-0.043116863567815744
2000-06,0.030709900934458023
2000-07,-0.020844260954563598
2000-08,-0.006598135585841214
2000-09,-0.06239727927326899
2000-10,-0.045970378900517805
2000-11,-0.04191532089107142
2000-12,0.01477353159670236
2001-01,-0.057447323891738344
2001-02,-0.04886840516043278
2001-03,-0.06778191013626489
2001-04,0.126097314281022
2001-05,0.023463785547252147
2001-06,0.023082046483952068
2001-07,-0.0035178953808504554
2001-08,-0.05015183125949707
2001-09,-0.07172825586615938
2001-10,-0.05731787646696396
2001-11,0.11553755069641825
2001-12,0.044696734217023026
2002-01,0.002446756602464184
2002-02,0.021189064894074683
2002-03,0.07794868493368923
2002-04,-0.0242268044974554
2002-05,0.07630036340331148
2002-06,-0.03588771846467931
2002-07,-0.046785020725043314
2002-08,-0.025646831440497064
2002-09,-0.08332558328002015
2002-10,0.03139026246489962
2002-11,0.04919791536074358
2002-12,-0.10168688973582518
2003-01,0.05288475617127242
2003-02,0.02057188895250084
2003-03,0.02709120206927973
2003-04,0.035110896406145065
2003-05,-0.03610127900631055
2003-06,0.09445087406456376
2003-07,0.041747007669725944
2003-08,0.006590918902795284
2003-09,0.001146799495414852
2003-10,0.1426185499697521
2003-11,0.0730577769291032
2003-12,-0.012977130890798771
2004-01,0.04087576251207836
2004-02,-0.02195583106118859
2004-03,-0.03138763903983954
2004-04,0.009696278184569307
