Date,Russia_IRS2
2015-05,-0.07992429368474008
2015-06,-0.07581992870585175
2015-07,-0.09893679377381204
2015-08,0.002769953709542472
2015-09,-0.05855625159248079
2015-10,0.04576895222948907
2015-11,-0.0589877352003364
2015-12,-0.07987729728081272
2016-01,-0.04005077660675649
2016-02,0.004733298133944519
2016-03,0.08237426279324556
2016-04,0.0328608197680611
2016-05,-0.08530663557573548
2016-06,0.04460222157858884
2016-07,-0.031405196794274115
2016-08,-0.022480143000913944
2016-09,0.012658522927494031
2016-10,0.002626075611280365
2016-11,-0.016433455681526654
2016-12,0.04175177737152147
2017-01,0.005883950328278598
2017-02,0.031028068119919094
2017-03,0.037953798313441034
2017-04,-0.07139068580924379
2017-05,0.005489497891099981
2017-06,-0.03830004076640847
2017-07,-0.015154429981648843
2017-08,0.030031877315413347
2017-09,0.00834860871000509
2017-10,-0.013506448986587816
2017-11,-0.12982624047763403
2017-12,-0.006710872083752206
2018-01,-0.022252029217408764
2018-02,-0.08829078961711923
2018-03,-0.024942749298059064
2018-04,-0.003490895457137433
2018-05,0.013419458814905916
2018-06,-0.00580936922069708
2018-07,0.004003032260953665
2018-08,0.029032793108612953
2018-09,0.10883378656706544
2018-10,0.018922391287299334
2018-11,-0.012312455334678951
2018-12,-0.021357644663835607
2019-01,0.011975085386448647
2019-02,-0.008907416530867351
2019-03,-0.0632475151919365
2019-04,0.017572095110608865
2019-05,-0.0062373366175360045
2019-06,-0.03917097025057015
2019-07,-0.03293518701735576
2019-08,-0.049906377468139085
2019-09,-0.010474916511768795
2019-10,-0.0955183966187273
2019-11,0.016615086409740076
2019-12,0.020139605541558803
2020-01,-0.05549744032332149
2020-02,-0.04475189332599583
2020-03,-0.04051773152871829
2020-04,-0.20308029645858727
2020-05,-0.042507173829534506
2020-06,-0.07799295554154584
2020-07,-0.038332702028044174
2020-08,0.05507395211776722
2020-09,-0.019917636535743632
2020-10,-0.016993036322452637
2020-11,0.01693338138094247
2020-12,0.09344353491897261
2021-01,-0.017984286519283188
2021-02,0.1026192382981761
2021-03,0.13104871633723736
2021-04,0.06164210446224616
2021-05,0.058194116160440235
2021-06,0.0727031811714618
2021-07,-0.02813757740675782
2021-08,0.024706356787993045
2021-09,0.051662459398602145
2021-10,0.2585165209907734
2021-11,-0.03705987778582831
2021-12,-0.00041311743572924886
2022-01,0.12507886822958758
2022-02,0.055704467079378706
2022-03,0.48133772780503636
2022-04,-0.2145991036567486
2022-05,-0.2769286289984866
2022-06,0.182760504515582
2022-07,-0.1299785103738038
2022-08,0.036684567039072746
2022-09,0.05934079266264436
2022-10,0.1753920608638877
2022-11,-0.19908270525041594
2022-12,0.36694981589897346
2023-01,-0.36178702232028426
2023-02,-0.05522971882754124
2023-03,0.3828649032974769
2023-04,-0.05257949313287569
2023-05,-0.008244038244813456
2023-06,-0.17539943687944226
2023-07,-0.09044022058393297
2023-08,0.42837518416290044
2023-09,-0.026581296866580728
