Date,America_IRS10
2007-02,-0.04231754531271059
2007-03,0.012550281576830136
2007-04,-0.00017877006197353218
2007-05,0.05848812953213467
2007-06,0.04025976463522207
2007-07,-0.03743865473441099
2007-08,-0.06061969296519154
2007-09,-0.0022348598224083416
2007-10,-0.017818930864148208
2007-11,-0.11791415539990235
2007-12,0.019551718566053644
2008-01,-0.09565748958522013
2008-02,-0.011241018451293106
2008-03,-0.03590418797792072
2008-04,0.06376720243723089
2008-05,0.09201560339719528
2008-06,-0.009834731297054033
2008-07,-0.020755320120558807
2008-08,-0.05325623149206071
2008-09,-0.026057187892520206
2008-10,0.02425085345808564
2008-11,-0.33979360063203623
2008-12,-0.17344153173030175
2009-01,0.23874587160114014
2009-02,0.07542001460920389
2009-03,-0.15201222618441157
2009-04,0.1579959149345187
2009-05,0.1597841875907866
2009-06,0.05803065545416586
2009-07,-0.01654453213077789
2009-08,-0.03026394978935598
2009-09,-0.042231876348375996
2009-10,0.032214268081955044
2009-11,-0.08346287217505688
2009-12,0.23307240704500987
2010-01,-0.07736867163942229
2010-02,-0.018491442332501995
2010-03,0.051670755929430934
2010-04,-0.05388140536036656
2010-05,-0.1099955966534566
2010-06,-0.12411768586318361
2010-07,-0.013406138203728157
2010-08,-0.16138020535134934
2010-09,0.041509262209275866
2010-10,0.0433509592273742
2010-11,0.09545549738219905
2010-12,0.16892253574978966
2011-01,0.03038728248070144
2011-02,0.02215802672931022
2011-03,0.013633963787695214
2011-04,-0.05009498131012924
2011-05,-0.06483243557075113
2011-06,0.03504294139964825
2011-07,-0.13625912226332104
2011-08,-0.20335648148148144
2011-09,-0.14727105428834342
2011-10,0.08984552476147223
2011-11,-0.050911933298593115
2011-12,-0.11316092900675334
2012-01,-0.028046062407132144
2012-02,0.0855468501178418
2012-03,0.1373665062786058
2012-04,-0.14130939483052152
2012-05,-0.19172074020668117
2012-06,0.05589831264402001
2012-07,-0.098275255191834
2012-08,0.06706222187524413
2012-09,0.04989757096868597
2012-10,0.020766550522648197
2012-11,-0.06506007646095036
2012-12,0.10784958013873691
2013-01,0.16945689427893473
2013-02,-0.055007608634391025
2013-03,0.01580485477425886
2013-04,-0.08202207609206214
2013-05,0.27822193795970573
2013-06,0.16832624468351276
2013-07,0.034819478350250455
2013-08,0.08438870954391198
2013-09,-0.07976794778825236
2013-10,-0.02343328771100317
2013-11,0.058736091055805684
2013-12,0.11488627702675602
2014-01,-0.11833915014572016
2014-02,-0.007957884427032491
2014-03,0.03957382039573831
2014-04,-0.02382177199161095
2014-05,-0.059832178037212636
2014-06,0.028974259474841446
2014-07,0.01491724282421969
2014-08,-0.08496759010775767
2014-09,0.06700356449939071
2014-10,-0.0707036535859269
2014-11,-0.0754914452129597
2014-12,-0.014913619136683542
2015-01,-0.2509243529529328
2015-02,0.22745464247598712
2015-03,-0.04994022388870778
2015-04,0.056226048161070796
2015-05,0.05047113614209886
2015-06,0.13058047221363012
2015-07,-0.08946240481510193
2015-08,0.0013520957484101093
2015-09,-0.14097819563912783
2015-10,0.03283460441287778
2015-11,0.0009582323431598372
2015-12,0.042572361752449606
2016-01,-0.2025494220589824
2016-02,-0.18369005689515028
2016-03,0.04488881513441756
2016-04,0.05479234495354568
2016-05,0.008582398554543236
2016-06,-0.2758080167201612
2016-07,-0.0575139146567718
2016-08,0.09930008748906394
2016-09,0.02367688022284109
2016-10,0.24606413994169096
2016-11,0.42824832319450934
2016-12,0.05908371102495491
2017-01,-0.0015983500902294612
2017-02,0.001084486676306451
2017-03,0.03528501418622643
2017-04,-0.057900244157656044
2017-05,-0.02374781826836614
2017-06,0.06252031639397537
2017-07,-0.028655924943911892
2017-08,-0.09905511811023626
2017-09,0.13272737866340378
2017-10,0.0392469523172676
2017-11,0.023708176598693287
2017-12,-0.01455301455301461
2018-01,0.15597095476400757
2018-02,0.042358134204830034
2018-03,-0.04234700109939338
2018-04,0.08091330413708042
2018-05,-0.02682715758004861
2018-06,0.016127728375100903
2018-07,0.04924619117705564
2018-08,-0.040034878871744506
2018-09,0.08905651435567319
2018-10,0.02389759210908049
2018-11,-0.049300513547016145
2018-12,-0.11250605371977795
2019-01,-0.026528984594719307
2019-02,0.04100728730973224
2019-03,-0.12563167923121532
2019-04,0.044057037282675626
2019-05,-0.1783656245746177
2019-06,-0.06174066710846027
2019-07,-0.009888169511477418
2019-08,-0.3280228272500296
2019-09,0.17507077140835103
2019-10,0.020853722803583663
2019-11,0.08665191740412981
2019-12,0.12908042076688142
2020-01,-0.26398990202560557
2020-02,-0.28583095140873815
2020-03,-0.48461978273299033
2020-04,-0.13800754382072322
2020-05,-0.002574002574002532
2020-06,-0.021935483870967776
2020-07,-0.28891820580474925
2020-08,0.7755102040816324
2020-09,-0.009404388714733591
2020-10,0.3776371308016879
2020-11,-0.03660030627871369
2020-12,0.12064854554124937
2021-01,0.24751773049645398
2021-02,0.4019329164297898
2021-03,0.23471208434712065
2021-04,-0.09747766684182857
2021-05,-0.03689956331877742
2021-06,-0.09846595632131783
2021-07,-0.1593461860854989
2021-08,0.07338717718616028
2021-09,0.16646539712029718
2021-10,0.03838496456159923
2021-11,-0.03742618298949307
2021-12,0.052744801211058734
2022-01,0.2026791795958527
2022-02,0.03693914794537778
2022-03,0.29184367034834313
2022-04,0.28538544651665365
2022-05,-0.032965426503910655
2022-06,0.06235827664399096
2022-07,-0.1329420135183209
2022-08,0.23025479013662653
2022-09,0.1973986993496748
2022-10,0.059074197860962574
2022-11,-0.1379355687047995
2022-12,0.08526540573520447
2023-01,-0.09860857343640195
