Date,Mexico_IRS10
2002-06,-0.004681654782602296
2002-07,0.01904767081660297
2002-08,-0.01966400021190373
2002-09,0.038292591322523384
2002-10,-0.027844811913588563
2002-11,-0.032031362939574204
2002-12,-0.04685723073853598
2003-01,-0.05338061081688694
2003-02,-0.018758613733559137
2003-03,-0.013852630001124244
2003-04,-0.050715302732388556
2003-05,-0.03000182715147104
2003-06,-0.03963917534092809
2003-07,0.05036043750744157
2003-08,-0.03826594041845788
2003-09,-0.05569086081870689
2003-10,-0.0017810976395047362
2003-11,0.00905391557777624
2003-12,0.013358863606002691
2004-01,-0.018029016743188686
2004-02,0.0002100941725513561
2004-03,-0.03415395520251996
2004-04,0.05475022366325466
2004-05,0.05760853056732684
2004-06,0.05778310504520778
2004-07,-0.007413390861878644
2004-08,-0.005055868329411628
2004-09,-0.0030841251111218826
2004-10,-0.015205645060971329
2004-11,0.06125725178653285
2004-12,-0.030250921387106056
2005-01,-0.030581474324754332
2005-02,0.03284165591026489
2005-03,0.037180988469171616
2005-04,0.02925803894211776
2005-05,-0.06557235254073845
2005-06,-0.035085158984220155
2005-07,0.020278700081468592
2005-08,-0.051985471389240256
2005-09,-0.04019737669705126
2005-10,0.043820283112950165
2005-11,-0.01528974828166374
2005-12,-0.03600045198560897
2006-01,-0.001394618142259496
2006-02,-0.04294049061790284
2006-03,0.054990101904777156
2006-04,-0.020093897663482463
2006-05,0.03139383843738175
2006-06,-0.008883377288911753
2006-07,-0.030452880916276626
2006-08,-0.028383168108615964
2006-09,-0.005032209724383119
2006-10,-0.031521637037779215
2006-11,-0.0423731414059515
2006-12,-0.0236972810229803
2007-01,0.02846293530329258
2007-02,0.006174615012528806
2007-03,-0.04785143321019791
2007-04,0.019551246930821886
2007-05,0.003084681234427622
2007-06,0.016477953874404205
2007-07,0.0002819687764727963
2007-08,0.01169388764729451
2007-09,0.012358012493826287
2007-10,0.011932539345324233
2007-11,-0.008042662611146612
2007-12,0.026445345067130255
2008-01,-0.04550369470017257
2008-02,-0.0030366998702642256
2008-03,-0.01895022122078638
2008-04,0.09312409739256666
2008-05,0.04084305488496853
2008-06,0.13940593094374965
2008-07,-0.01930594497614624
2008-08,-0.07869073447090091
2008-09,-0.06183251359782582
2008-10,-0.08061734097935302
2008-11,-0.05243501140858742
2008-12,-0.13770046808939018
2009-01,-0.06780042927309982
2009-02,0.012127346994854182
2009-03,-0.036374659221078964
2009-04,0.020740201116247414
2009-05,0.0948856694200968
2009-06,0.013234274151804337
2009-07,0.0007036104658091347
2009-08,-0.0008900637463787886
2009-09,-0.033742187454351646
2009-10,0.035371527144542725
2009-11,0.010613337060898509
2009-12,0.004778683917146642
2010-01,-0.016196016719534856
2010-02,-0.004451531618545279
2010-03,0.02018269257668348
2010-04,-0.009292505706925303
2010-05,-0.06188483560196267
2010-06,-0.044349244734745996
2010-07,-0.03148851674804942
2010-08,-0.08221494161306564
2010-09,0.02713456861606378
2010-10,0.009912734406251955
2010-11,0.0942514911308241
2010-12,0.04310462025675954
2011-01,0.06316773519689778
2011-02,0.023936963340017492
2011-03,0.029530266628466473
2011-04,-0.022289303670056992
2011-05,-0.04853570562470655
2011-06,0.0056223266235564395
2011-07,-0.06074098480549617
2011-08,-0.10877215639542392
2011-09,-0.05388228561934638
2011-10,-0.017637388803492526
2011-11,-0.01324502082029888
2011-12,0.017511252884338413
2012-01,-0.010921598426139378
2012-02,0.0640417043114403
2012-03,0.01151141430102487
2012-04,-0.047997663751183195
2012-05,-0.08495936427477746
2012-06,-0.022169072491411423
2012-07,-0.04272025723005757
2012-08,0.045049762885468914
2012-09,0.032294794323302956
2012-10,-0.003627230710961271
2012-11,-0.011364963903003567
2012-12,0.010557499648507163
2013-01,-0.020742986682334652
2013-02,-0.016985712377391216
2013-03,0.029832555693065643
2013-04,-0.05143712300490488
2013-05,0.09918012778713314
2013-06,0.09293209494643273
2013-07,0.030188724464275563
2013-08,-0.0023753793962384417
2013-09,-0.03747750084371826
2013-10,-0.0022292409429897075
2013-11,0.01716942312259495
2013-12,0.018701880413984684
2014-01,-0.005557121753402283
2014-02,-0.029529203103357826
2014-03,0.002139303579331342
2014-04,-0.006535457252998977
2014-05,-0.022982675859434365
2014-06,-0.05007910233298196
2014-07,0.004548226410914458
2014-08,-0.019575056927450207
2014-09,0.035603642966516746
2014-10,-0.04051292733541578
2014-11,-0.07772620238698946
2014-12,-0.018738313275218577
2015-01,-0.11678010107301151
2015-02,0.07369782043383855
2015-03,0.007605731945637517
2015-04,0.009005883745680565
2015-05,0.017458297100433118
2015-06,-0.0014718811554434996
2015-07,-0.03920824569398673
2015-08,-0.02433787604732618
2015-09,-0.0052246552984979155
2015-10,0.009141094851313314
2015-11,-0.007671619745687974
2015-12,-0.017447132419031175
2016-01,-0.10983699152786541
2016-02,0.024207771112418675
2016-03,0.03507933808852193
2016-04,0.012578029066806273
2016-05,-0.037080940669997675
2016-06,-0.026574798221556728
2016-07,-0.004359764415233447
2016-08,-0.015299142263692556
2016-09,0.013225474411298954
2016-10,0.046054664357670916
2016-11,0.07355961682881418
2016-12,0.029002081186690676
2017-01,-0.013205979011318814
2017-02,0.03200741825922049
2017-03,0.0197070798264094
2017-04,0.0016104028733214815
2017-05,0.028683628633421332
2017-06,-0.030809609996869436
2017-07,0.013003558708837293
2017-08,-0.004100534318663085
2017-09,-0.029077911050575334
2017-10,0.005887983369649019
2017-11,0.0353802792140514
2017-12,0.004204231955640569
2018-01,0.051643215641833384
2018-02,-0.013888107970051577
2018-03,0.0021592291514960227
