Date,China_G1
2015-04,0.024468424244623366
2015-05,-0.03020051242838062
2015-06,-0.002994752010142432
2015-07,0.006627606611122605
2015-08,-0.012514222923160734
2015-09,0.006555538811724659
2015-10,0.022897594327379922
2015-11,-0.007690700024350905
2015-12,-0.006640542476284761
2016-01,-0.010361971997193686
2016-02,0.006715617512495831
2016-03,0.006570593859072105
2016-04,-0.0062011885126392885
2016-05,-0.011569580130223689
2016-06,-0.0073443408490290185
2016-07,0.009486727400642048
2016-08,-0.005236420579421863
2016-09,0.0024041858321415255
2016-10,-0.01458286536375153
2016-11,-0.03048374104662943
2016-12,-0.032980474274016514
2017-01,-0.006116177424759894
2017-02,0.01804535658841333
2017-03,-0.007674658195486406
2017-04,-0.012233390972131053
2017-05,-0.00015600646456281897
2017-06,0.012268910825877555
2017-07,0.00045389518785876604
2017-08,0.017859310889323243
2017-09,0.0009633044481507369
2017-10,-0.025189757684384806
2017-11,0.0021660789181900952
2017-12,0.021481291787903478
2018-01,0.020901056924478967
2018-02,0.001417319064378031
2018-03,0.01819005223407033
2018-04,0.0009754350044310911
2018-05,-0.007608217035248277
2018-06,-0.0215773553253521
2018-07,-0.030447227956975853
2018-08,-0.007342712603352508
2018-09,-0.010115868107152926
2018-10,-0.004961459573305849
2018-11,0.0121298304707107
2018-12,0.02195964173950582
2019-01,0.030160322404660045
2019-02,0.0010010796627077934
2019-03,-0.004368943637213851
2019-04,-0.016604901661655735
2019-05,-0.015525003364087797
2019-06,0.005526203966005561
2019-07,0.006373419411002779
2019-08,-0.029324240719122763
2019-09,-0.009530250506145865
2019-10,0.007363143083013224
2019-11,0.011142834225410292
2019-12,0.007371706226608321
2020-01,0.023140160501254226
2020-02,0.004460540201719265
2020-03,-0.007180552727222511
2020-04,0.01386284419840167
2020-05,-0.022989759088611672
2020-06,-0.0037960254041701225
2020-07,-0.0014127279388967962
2020-08,0.014791477771858519
2020-09,0.0011973316608699935
2020-10,0.018344074670815003
2020-11,0.0124016765620929
2020-12,0.011016362875786667
2021-01,0.012379461819887583
2021-02,-0.015303533574253403
2021-03,-0.0058087154123780405
2021-04,0.016770990965432775
2021-05,0.02574157529210752
2021-06,-0.017432120506204463
2021-07,0.017913923685255018
2021-08,-0.00027519057108160716
2021-09,-0.0007838965978500534
2021-10,-0.0010309617557059392
2021-11,0.018583567282846714
2021-12,0.005112269573785078
2022-01,0.004636495591544332
2022-02,0.0027345238820317697
2022-03,-0.008216266717763987
2022-04,-0.04187183876077838
2022-05,-0.00133903124516066
2022-06,-0.015136428452183215
2022-07,0.003977102182582293
2022-08,-0.010181650739416015
2022-09,-0.04684932744435599
2022-10,-0.014460277208953598
2022-11,0.016011001283291693
2022-12,0.02645380050861834
2023-01,0.020653137404958333
2023-02,-0.021169772186927283
2023-03,0.007324018952070022
2023-04,0.0016241603945581495
2023-05,-0.022142886891167946
2023-06,-0.018544416880725723
2023-07,0.015454474961175357
2023-08,-0.008273078132914335
2023-09,-0.014808645428908918
