Date,Canada_G1
1989-10,0.016158866736621258
1989-11,-0.014663371332117703
1989-12,0.00827982075863809
1990-01,-0.02182725288431553
1990-02,-0.04367229837424291
1990-03,-0.028000666666666674
1990-04,-0.02697761338199367
1990-05,0.04088419235257912
1990-06,0.016139277652370332
1990-07,0.012995676771527354
1990-08,-0.01337720178324675
1990-09,-0.023116263469390996
1990-10,0.0029585913255458784
1990-11,0.023139065335753273
1990-12,0.01784923581989073
1991-01,0.016229833066005783
1991-02,0.020900321543408484
1991-03,0.0020997375328084544
1991-04,0.00010476689366156755
1991-05,-0.0032474334799914573
1991-06,-0.027115081450341694
1991-07,0.010478556767851588
1991-08,0.015394483643361045
1991-09,0.033375447462623775
1991-10,0.025573102394294445
1991-11,0.004371150407311619
1991-12,0.02027695351137493
1992-01,-0.015996122152205583
1992-02,-0.00266009852216742
1992-03,-0.029437913661957915
1992-04,-0.00010178117048353919
1992-05,0.028807003257328878
1992-06,0.013060255268625864
1992-07,0.04912589120031252
1992-08,0.001954943213554161
1992-09,-0.037814735668493804
1992-10,0.029065276168404708
1992-11,-0.03866003565731435
1992-12,0.011029770619814583
1993-01,-0.0027997682950375857
1993-02,0.03078710426953224
1993-03,-0.00018784634169244363
1993-04,-0.0018788163457021945
1993-05,0.00912941176470583
1993-06,0.007460734937511759
1993-07,0.018237373581210914
1993-08,0.023729442892686414
1993-09,-0.027175858175412904
1993-10,0.029852672915468004
1993-11,-0.0009750908607393249
1993-12,0.011535048802129522
1994-01,0.02175385964912291
1994-02,-0.03811815150316866
1994-03,-0.06131688396120172
1994-04,-0.006750974612532157
1994-05,-0.02795328355351323
1994-06,-0.039393342525113284
1994-07,0.009329505843756358
1994-08,0.03098019299136623
1994-09,-0.014285714285714346
1994-10,-0.013293353323338364
1994-11,0.001823338735818636
1994-12,-0.0046511627906977715
1995-01,0.0
1995-02,0.040430719219829436
1995-03,0.0008781487990625614
1995-04,0.016194136880774757
1995-05,0.02697513679562258
1995-06,-0.005421574126004858
1995-07,-0.029135338345864792
1995-08,0.03242981606970008
1995-09,0.0075011720581341645
1995-10,0.01507677989762679
1995-11,0.023654533785642418
1995-12,0.004478280340349361
1996-01,0.003388319215336555
1996-02,-0.026926153025859767
1996-03,-0.013333333333333308
1996-04,-0.007497223250647944
1996-05,0.008486431036090591
1996-06,-0.00046236360273721466
1996-07,0.0060135072624663
1996-08,0.011587272392863834
1996-09,0.014909090909090983
1996-10,0.04693658187029737
1996-11,0.02566735112936347
1996-12,-0.02585919252585911
1997-01,-0.005480390477821562
1997-02,0.01394868262441884
1997-03,-0.03235394021739135
1997-04,0.010443176831943735
1997-05,0.012680215389959892
1997-06,0.0018867924528300772
1997-07,0.03706557096387608
1997-08,-0.011803549319026052
1997-09,0.007517540928833943
1997-10,0.019151052893384257
1997-11,-0.012120719108435818
1997-12,0.02132740447957837
1998-01,0.01580262839635571
1998-02,-0.005079768235574211
1998-03,0.002233745512564722
1998-04,-0.00039799410968710536
1998-05,0.0039018952062430667
1998-06,-0.0064250019830252025
1998-07,-0.009659907392623457
1998-08,-0.013220475614671545
1998-09,0.04378727228167634
1998-10,-0.00954840729435702
1998-11,0.004978269458712159
1998-12,0.013052366724327635
1999-01,-0.0013970816516610807
1999-02,-0.03007927871910454
1999-03,0.014183828832438516
1999-04,-0.007664348925410902
1999-05,-0.01377498208456085
1999-06,0.015259163571774481
1999-07,-0.015109343936381747
1999-08,-0.002422285022204207
1999-09,-0.005099150141642972
1999-10,-0.01757240481614053
1999-11,-0.004968532626697608
1999-12,-0.013814913448734978
2000-01,-0.01755274261603379
2000-02,0.026370039512111365
2000-03,-0.16310988367227375
2000-04,-0.014899999999999913
2000-05,0.007714952796670227
2000-06,0.01561398206910436
2000-07,-0.001983733386232811
2000-08,0.012721129000198728
2000-09,-0.0027477919528949846
2000-10,-0.006790001968116521
2000-11,0.024571485187753872
2000-12,0.006382361473745268
2001-01,0.0009608917075045742
2001-02,0.0050878371892100205
2001-03,-0.008595988538682042
2001-04,-0.0239884393063583
2001-05,-0.0030599151120324075
2001-06,-0.010099009900990108
2001-07,0.023904780956191196
2001-08,0.020220767803067252
2001-09,-0.0013404825737265424
2001-10,0.03173537871524457
2001-11,-0.01905027413809124
2001-12,-0.019893899204244114
2002-01,-0.0022230813841096486
2002-02,0.011818269882786003
2002-03,-0.04116802297750122
2002-04,0.018671992011981997
2002-05,0.012546559498137544
2002-06,-0.0012584704743465736
2002-07,0.01638073083260627
2002-08,0.016879649055884016
2002-09,0.006564756635093261
2002-10,-0.006428771079847184
2002-11,-0.002156789197299336
2002-12,0.016163894370829768
2003-01,-0.013779709608804147
2003-02,0.008252063015753874
2003-03,-0.01692708333333326
2003-04,0.015704824976348064
2003-05,0.035860655737704805
2003-06,-0.002607679165542609
2003-07,-0.029480706815723012
2003-08,0.008360427310729168
2003-09,0.016305849838784026
2003-10,-0.018219724437998464
2003-11,0.0027698273474285884
2003-12,0.006168861062517239
2004-01,0.01171303074670571
2004-02,0.01374819102749636
2004-03,-0.003033547466095632
2004-04,-0.019241095400035713
2004-05,-0.008851172552240105
2004-06,-0.011231817344871997
2004-07,0.01033519553072626
2004-08,0.01815500875495335
2004-09,-0.00570238957277347
2004-10,0.011743286299499278
2004-11,0.002789274788554952
2004-12,0.0063705697622251645
2005-01,0.007043509272467885
2005-02,-0.0030101814962373297
2005-03,-0.009679424562649919
2005-04,0.013002152080344276
2005-05,0.015313800123926802
2005-06,0.015605928509154321
2005-07,-0.005665722379603388
2005-08,0.012604679271345898
