Date,Mexico_G1
2003-10,0.0035876584549150436
2003-11,-0.020495710200190698
2003-12,-0.009975669099756779
2004-01,0.026296387318751613
2004-02,-0.008620689655172487
2004-03,-0.006280193236715026
2004-04,-0.06368497812348073
2004-05,-0.03504672897196259
2004-06,-0.028517621737960686
2004-07,0.019108280254777066
2004-08,0.0013586956521738358
2004-09,0.0005427408412481682
2004-10,0.009492812584757315
2004-11,-0.016389038151531365
2004-12,0.03796776836929805
2005-01,0.007368421052631691
2005-02,-0.011755485893416906
2005-03,-0.04467353951890041
2005-04,-0.0019369120088543745
2005-05,0.06237870806764634
2005-06,0.013048016701461274
2005-07,0.0005151983513651537
2005-08,0.03964984552008244
2005-09,0.007924715205547272
2005-10,-0.021130221130221227
2005-11,0.02284136546184734
2005-12,0.019877300613496907
2006-01,0.008662175168431041
2006-02,0.020515267175572616
2006-03,-0.05025712949976624
2006-04,0.009844942160964765
2006-05,-0.03899585669022665
2006-06,-0.0005072279989855044
2006-07,0.03933011925907137
2006-08,0.024169921875
2006-09,-0.005959475566150174
2006-10,0.024220623501199023
2006-11,0.014048232264106675
2006-12,0.018009697529438817
2007-01,-0.031526423225221034
2007-02,-0.0030444964871194635
2007-03,0.025839793281653645
2007-04,-0.011907487978016884
2007-05,0.012050984936268883
2007-06,-0.008243645523242416
2007-07,-0.002539829138767047
2007-08,-0.00462962962962965
2007-09,-0.0030232558139534627
2007-10,0.0030324236062515553
2007-11,-0.006046511627907036
2007-12,-0.014038371548900308
2008-01,0.03464641670621749
2008-02,0.009862385321100842
2008-03,0.002498296615943696
2008-04,-0.03262347077480743
2008-05,-0.013817330210772805
2008-06,-0.0686297791498457
2008-07,0.020142784293727845
2008-08,0.03224193951512122
2008-09,0.001210653753026536
2008-10,-0.02345828295042318
2008-11,-0.020307082714214886
2008-12,0.07912032355915044
2009-01,0.011009604122745431
2009-02,-0.04911955514365163
2009-03,0.047027290448343084
2009-04,0.0060507330695835915
2009-05,-0.012722646310432517
2009-06,-0.0220243673851922
2009-07,0.005989458552946747
2009-08,-0.001190759704691624
2009-09,0.010014306151645336
2009-10,-0.003541076487252104
2009-11,0.014451551764984583
2009-12,-0.014712751050910855
2010-01,0.015643517421189967
2010-02,0.015402567094515707
2010-03,-0.0006894966674327874
2010-04,0.014259429622815123
2010-05,0.016780045351473927
2010-06,0.012042818911686126
2010-07,0.026663728514764173
2010-08,0.017814981755741588
2010-09,0.00042176296921137
2010-10,0.008010118043844772
2010-11,-0.04098703471350895
2010-12,-0.016136066288704787
2011-01,-0.009086879432623984
2011-02,-0.01655110713486918
2011-03,-0.0086422560836934
2011-04,0.028676301904106527
2011-05,0.02520071364852816
2011-06,-0.01174679138568624
2011-07,0.026854501430772615
2011-08,0.04287245444801724
2011-09,-0.03864337101747173
2011-10,0.024160786829164005
2011-11,0.002296450939457184
2011-12,-0.02270360341595512
2012-01,0.03772378516624042
2012-02,-0.019511193263503812
2012-03,-0.004398826979472026
2012-04,0.010940458657689778
2012-05,0.009781477627471391
2012-06,-0.0789365210222589
2012-07,0.006936674871335979
2012-08,-0.008222222222222242
2012-09,0.0067219359175443305
2012-10,-0.010460716670376069
2012-11,0.0015744489428699548
2012-12,0.0013474062429821299
2013-01,0.018389773491814365
2013-02,0.0035234529839240913
2013-03,0.0010972130787798573
2013-04,0.03156510302498905
2013-05,-0.05397365065873361
2013-06,-0.160377358490566
2013-07,-0.0032102728731941976
2013-08,-0.030864197530864224
2013-09,0.021323733037939663
2013-10,0.0010845986984815426
2013-11,-0.011105092091007518
2013-12,-0.018077239112571974
2014-01,-0.012831241283124184
2014-02,0.023452952811528816
2014-03,0.008006626173384879
2014-04,0.0013694878115584341
2014-05,0.029540481400437413
2014-06,0.005047821466525049
2014-07,-0.006608511763150915
2014-08,0.010643959552953719
2014-09,-0.03422854133754605
2014-10,0.021537622682660684
2014-11,0.0106752068321323
2014-12,-0.04594665962503297
2015-01,0.061998339330196384
2015-02,-0.036226218399791454
2015-03,-0.024067063277447343
2015-04,0.0024937655860350905
2015-05,-0.004422332780541827
2015-06,-0.009161576901721258
2015-07,0.007845334827682793
2015-08,-0.0008340283569642226
2015-09,-0.00946021146355025
2015-10,0.008426966292134797
2015-11,-0.004735376044568196
2015-12,-0.006157290792051517
2016-01,0.022810475922275364
2016-02,-0.0022026431718061845
2016-03,0.005794701986755024
2016-04,0.010425240054869667
2016-05,-0.020635351615530872
2016-06,0.02079290268921552
2016-07,0.0
2016-08,0.00977729494839763
2016-09,-0.018289402904787533
2016-10,-0.01315068493150684
2016-11,-0.06774014436424203
2016-12,-0.042584871947587866
2017-01,0.0015552099533437946
2017-02,0.007453416149068248
2017-03,0.034833538840937095
2017-04,-0.008042895442359255
2017-05,-0.00510510510510509
2017-06,0.042861454874735916
2017-07,-0.005499276410998455
2017-08,0.00029103608847491635
2017-09,0.0020366598778003286
2017-10,-0.027584204413472757
2017-11,-0.002090176171991587
2017-12,-0.02333931777378817
2018-01,0.004901960784313708
2018-02,-0.003658536585365857
2018-03,0.02784577723378212
2018-04,-0.012206013694551876
2018-05,-0.021398432790837973
2018-06,0.01878657222051139
2018-07,-0.01209189842805325
2018-08,-0.011627906976744207
2018-09,-0.03281733746130033
2018-10,-0.07202304737516008
2018-11,-0.03173508106243528
2018-12,0.05521909511934453
2019-01,0.013166779203241274
2019-02,0.01499500166611134
2019-03,0.016743269862114163
2019-04,-0.0022602518566353647
2019-05,0.2799352750809061
2019-06,0.04500632111251579
2019-07,0.0012097749818533732
2019-08,0.02875785403576603
