Date,Australia_G1
1987-10,-0.01378481953898092
1987-11,0.004523837141862996
1987-12,0.004041570438799269
1988-01,0.005002760207015511
1988-02,0.0029182357290422622
1988-03,0.0020537425832953815
1988-04,0.00563652990623198
1988-05,-0.008209138675099092
1988-06,0.0039957757734900845
1988-07,-0.00017057086315341863
1988-08,0.0030139326714737624
1988-09,-0.004422270600098699
1988-10,0.002164009358087693
1988-11,-0.003920900547891848
1988-12,-0.004849107747060155
1989-01,-0.005961821366867737
1989-02,-0.0041522491349480495
1989-03,0.00046316886726893713
1989-04,0.0033573747808954835
1989-05,-0.006980616130148887
1989-06,0.005867891229639488
1989-07,0.0011550189263003219
1989-08,0.0038075458636206427
1989-09,-0.007413793103448252
1989-10,0.0006946905216838051
1989-11,0.0049182439296699965
1989-12,0.005181828650391518
1990-01,0.0008592050474516277
1990-02,-0.00766874694314057
1990-03,-0.0018456656271220728
1990-04,-0.0052579880973016024
1990-05,0.002904275092936892
1990-06,0.0024324105177806477
1990-07,0.002946730176418999
1990-08,-0.0039172763408030775
1990-09,-0.0008675033254293973
1990-10,0.00329925908775186
1990-11,0.01176957384983246
1990-12,0.002223869532987255
1991-01,0.00586026399635875
1991-02,0.0007354488376039026
1991-03,0.0014694775639298996
1991-04,0.004910147872220438
1991-05,0.0026397082437190633
1991-06,-0.005321421165294882
1991-07,0.0024778960409979067
1991-08,0.003820010111791561
1991-09,0.0038054731658179186
1991-10,0.00702458605117906
1991-11,0.0005535071693518745
1991-12,0.004813921851814396
1992-01,-0.009361233480176145
1992-02,0.0011117287381878782
1992-03,0.00011104941699069393
1992-04,0.006329002886964252
1992-05,0.003751627910363764
1992-06,0.0019785643618774884
1992-07,0.007295776993502701
1992-08,-0.008386429232696169
1992-09,-0.0013729474435718592
1992-10,0.0015398152221732797
1992-11,-0.0024710081265099104
1992-12,0.0011560523097982056
1993-01,0.004398504508467127
1993-02,0.007389971534924378
1993-03,0.0010866706515242353
1993-04,0.003528307390577634
1993-05,-0.001298247511899553
1993-06,0.0023830158560458337
1993-07,0.005673331064764531
1993-08,0.0030086498683716822
1993-09,-0.002571107183030663
1993-10,0.003973900434992794
1993-11,-0.0032627978885048092
1993-12,0.0007512074702158422
1994-01,0.0038610042750970575
1994-02,-0.007318376850253938
1994-03,-0.010331917379531652
1994-04,-0.005111195693545789
1994-05,-0.0033885336393945087
1994-06,-0.010748560460652645
1994-07,0.0016076279172905217
1994-08,0.0030440557892406073
1994-09,-0.012249627545108388
1994-10,-0.001452432824981753
1994-11,0.0010069930069931399
1994-12,0.004750461074163104
1995-01,-0.00367115363221715
1995-02,0.0063644484144707025
1995-03,-0.0003883279707089793
1995-04,0.0019978911149343137
1995-05,0.009027970091387338
1995-06,-0.0038972444834779463
1995-07,-0.002589959772965167
1995-08,0.005138121546961472
1995-09,0.004782059033694219
1995-10,-0.002844638949671796
1995-11,0.0071867456660084095
1995-12,-0.00021787679067486465
1996-01,0.0020702805774992505
1996-02,-0.006524221171097744
1996-03,-0.003228807530235911
1996-04,0.002251015702207315
1996-05,-0.0013694878115584341
1996-06,-0.001206801974766858
1996-07,0.0068651142355009576
1996-08,0.0028909616538481675
1996-09,0.0028826280865874576
1996-10,0.004501328705461383
1996-11,0.00210560414642047
1996-12,-0.0030170788211841826
1997-01,-0.00010807889759534284
1997-02,-0.0024320380478840553
1997-03,-0.003954924693899797
1997-04,0.0022844710361709097
1997-05,0.004395723666359208
1997-06,0.00410633239680136
1997-07,0.0075871717606543765
1997-08,-0.0015487316421894937
1997-09,0.0038510911424902705
1997-10,0.002024722932651324
1997-11,-0.002339678825906577
1997-12,0.0009593859929646342
1998-01,0.0018636847710329363
1998-02,-0.0005314908317831657
1998-03,0.0020739165115659652
1998-04,-0.001061345786457113
1998-05,0.005684232894177521
1998-06,-0.002641170566795248
1998-07,0.0005825962607912683
1998-08,-0.003969934363751815
1998-09,0.008768666631237654
1998-10,0.0017384890949321274
1998-11,-0.0008414409676571477
1998-12,-0.00021053739670517935
1999-01,-0.00010529086601729354
1999-02,-0.00573895645764233
1999-03,0.0007413683541621641
1999-04,-0.00015874695734996447
1999-05,-0.00513363323630589
1999-06,-0.003617406107032539
1999-07,0.0009076348104644083
1999-08,-0.0010668373606442794
1999-09,0.0
1999-10,-0.0033107278261333972
1999-11,0.00016072863648530777
1999-12,-0.004231840582815671
2000-01,-0.0016676529130129625
2000-02,0.005873477745446554
2000-03,0.0029999464295280553
2000-04,-0.00016023073225446272
2000-05,0.001388888888888884
2000-06,0.0010135495572387576
2000-07,-0.0008526512123634422
2000-08,-0.00021334471171807756
2000-09,0.0006401707121899136
2000-10,0.00026656714826467365
2000-11,0.004423835412002974
2000-12,0.003396126293446544
2001-01,0.0012692368713311808
2001-02,0.0009507209633972113
2001-03,-0.0004749089757796199
2001-04,-0.005596029986273732
2001-05,-0.0024952219154811273
2001-06,-0.0005854489328861456
2001-07,-0.0001597614229417177
2001-08,0.0060719041278294306
2001-09,-0.00010588173010739332
2001-10,0.0036533065071213677
2001-11,-0.004220299641274572
2001-12,-0.004926891290527591
2002-01,0.00010647926316331713
2002-02,0.000958211338834225
2002-03,-0.0046269212359729694
2002-04,0.0029920923274204814
2002-05,-0.0007990624334115459
2002-06,0.0019725968971584518
2002-07,0.00148983718207929
2002-08,0.0020189140367654623
2002-09,0.0042417815482502785
2002-10,-0.0021647307286166706
2002-11,-0.0011640827557013456
2002-12,0.004608783175292563
2003-01,-0.00010546298249303199
2003-02,0.0012656892732834102
2003-03,-0.0029495417676183022
