Date,Italy_G1
2009-10,0.012484013375842817
2009-11,0.027720854754992974
2009-12,-0.06345879610797
2010-01,-0.02706787391827281
2010-02,-0.003989520653665757
2010-03,-0.010476525589203756
2010-04,-0.02366206598682874
2010-05,-0.07940695571259293
2010-06,-0.01486488840621114
2010-07,0.08768229994495158
2010-08,-0.008662818972336006
2010-09,0.05647834398576679
2010-10,0.02199643411942409
2010-11,-0.11323171301329671
2010-12,0.009753444972971037
2011-01,0.0337736821484389
2011-02,0.0008988880356004536
2011-03,0.014532852183106515
2011-04,0.0575838372878561
2011-05,-0.021461707282103837
2011-06,-0.01181988423992908
2011-07,-0.07891447808317087
2011-08,0.0655723210187531
2011-09,-0.12481557995774484
2011-10,0.002613327300238888
2011-11,-0.09307199995614934
2011-12,-0.027177572900807356
2012-01,0.09522403413214153
2012-02,0.08743445086838486
2012-03,-0.013570233822077338
2012-04,-0.03494691588324095
2012-05,-0.08583725284162391
2012-06,0.03326297296211744
2012-07,-0.042588112889370255
2012-08,0.04392425076883444
2012-09,0.06620238596871175
2012-10,0.028161270902302915
2012-11,0.04193357543162057
2012-12,0.005703957689222827
2013-01,0.049463527447800804
2013-02,-0.06625974627046927
2013-03,-0.027990653392156672
2013-04,0.09783315538968984
2013-05,-0.02499950399010531
2013-06,-0.04164598734642544
2013-07,0.037534568464060225
2013-08,-0.00246249528958864
2013-09,0.011129806216039428
2013-10,0.045605622895966036
2013-11,0.011686894420553928
2013-12,-0.0009632829225006967
2014-01,0.005748585578200682
2014-02,0.04489066048074286
2014-03,0.010612749483770223
2014-04,0.02616210198677993
2014-05,-0.007629274138575615
2014-06,0.012208939989458267
2014-07,-0.009312656431138988
2014-08,0.001613662518075154
2014-09,-0.0384405383295765
2014-10,-0.009483672116552433
2014-11,0.02199060780358386
2014-12,-0.016730785402672033
2015-01,-0.04933043241755075
2015-02,0.0115473099602601
2015-03,-0.043641431892562865
2015-04,0.029309662636726186
2015-05,-0.044902098779486144
2015-06,-0.022264027192675617
2015-07,0.035427983780155436
2015-08,0.00920453613523109
2015-09,0.005243086090092497
2015-10,0.0038481151088740617
2015-11,-0.026326825567194012
2015-12,0.005772718525390186
2016-01,0.012118622473660245
2016-02,0.005636053749810133
2016-03,0.04994511681748537
2016-04,-0.012921306784827502
2016-05,-0.016343310793207277
2016-06,0.019325054875230396
2016-07,0.022020199090140524
2016-08,0.002961081046539249
2016-09,-0.009823924181652899
2016-10,-0.053562247725293166
2016-11,-0.05816339546939153
2016-12,-0.006669019503625417
2017-01,-0.006923157835876936
2017-02,-0.0057036856393238855
2017-03,-0.009219814113146207
2017-04,0.03053468939796411
2017-05,0.043135513304889406
2017-06,0.03149037081830808
2017-07,0.0447884802138836
2017-08,0.01383646789380566
2017-09,-0.025107958585525725
2017-10,0.019491078068479828
2017-11,0.03151295213790317
2017-12,-0.025339838498045886
2018-01,0.03279668295196436
2018-02,-0.011395892497227167
2018-03,0.025050312909508543
2018-04,-0.018376406141527912
2018-05,-0.12116542617559323
2018-06,0.00757198479503618
2018-07,0.0009393878209382756
2018-08,-0.04382686640068667
2018-09,0.009971586280147493
2018-10,-0.0425429615793842
2018-11,0.024584777704144134
2018-12,0.03946694934387329
2019-01,0.012066623135900345
2019-02,-0.01679242772348455
2019-03,-0.003999697812506864
2019-04,0.007307550449443534
2019-05,-0.007032965362233745
2019-06,0.05134559960406837
2019-07,0.01392946936658701
2019-08,0.030889191661389592
2019-09,-0.00444655586166165
2019-10,0.013694878417181533
2019-11,-0.03375683487154124
2019-12,0.026029477667580236
2020-01,0.028033417092528934
2020-02,-0.02119777108416665
2020-03,-0.029308408349747017
2020-04,-0.027063128795984714
2020-05,0.039921565837621964
2020-06,0.023923161564042505
2020-07,0.07119185173615117
2020-08,0.00799092332814988
2020-09,-0.008848738302385084
2020-10,0.007244764805102832
2020-11,0.03471831951878945
2020-12,0.030069676333786655
2021-01,-0.013034377653158846
2021-02,-0.013216889615929261
2021-03,-0.03156526982212848
2021-04,0.009404679796293891
2021-05,0.01882989631237919
2021-06,-0.003311469079906315
2021-07,0.019801563573835113
2021-08,-0.011227592440616552
2021-09,-0.028250043564814975
2021-10,-0.025637898076451227
2021-11,0.002933113201086801
2021-12,-0.027409673441964877
2022-01,-0.01983687386728683
2022-02,-0.0337264580863148
2022-03,-0.03335033150352096
2022-04,-0.10223427185468448
2022-05,-0.009071172234393243
2022-06,-0.05214279936671973
2022-07,0.0002761367450874186
2022-08,-0.06939268425831113
2022-09,-0.08642750553126888
2022-10,0.032139508960874474
2022-11,0.09589438996739363
2022-12,-0.06081313460661997
2023-01,0.0632214006542533
2023-02,-0.03874204869692188
2023-03,0.049122577324281824
2023-04,0.012232360249856411
2023-05,-0.020555010171750543
2023-06,0.02182842321052547
2023-07,0.007183040864170209
2023-08,-0.014668296951068971
2023-09,-0.07701888527989265
