Date,England_G1
1982-12,0.024458699690402597
1983-01,-0.05258432029769944
1983-02,0.04370015948963313
1983-03,0.01864352078239606
1983-04,0.011401134640919519
1983-05,0.005339659287020293
1983-06,-0.008557564564147802
1983-07,-0.04107142857142854
1983-08,0.0062073246430789375
1983-09,0.05953164713140047
1983-10,0.007277551195318255
1983-11,0.01965317919075149
1983-12,-0.005951927437641724
1984-01,-0.006558765185621818
1984-02,-0.0008606199770379019
1984-03,0.004021830958078176
1984-04,-0.025751061172618606
1984-05,-0.03318694475797013
1984-06,-0.011238882138517647
1984-07,-0.023963613412663176
1984-08,0.06704438149197367
1984-09,0.0073751032448377
1984-10,0.007905823528750355
1984-11,0.017141661824520593
1984-12,-0.028278079050292337
1985-01,-0.020281716637272185
1985-02,-0.004500927932347798
1985-03,0.030741410488245968
1985-04,-0.00380070175438596
1985-05,0.0002930435958703459
1985-06,0.03609201877934276
1985-07,0.018974332948475503
1985-08,-0.0027793218454696955
1985-09,0.007246376811594235
1985-10,0.0016602102933038765
1985-11,-0.002762430939226568
1985-12,-0.015512465373961226
1986-01,-0.02025886325267301
1986-02,0.0557151062607697
1986-03,0.10310163220892266
1986-04,0.006905052762494535
1986-05,-0.031594795358395156
1986-06,-0.01643864441072329
1986-07,-0.010285416184966367
1986-08,0.010132082044341129
1986-09,-0.08076131687242794
1986-10,-0.010352098489087802
1986-11,-0.021770303977244443
1986-12,0.04364208092485544
1987-01,0.017169751461755034
1987-02,0.03648242353066222
1987-03,0.038875738849177166
1987-04,0.01972186307080137
1987-05,0.007686185891917274
1987-06,-0.030511811023621993
1987-07,-0.04517766497461928
1987-08,-0.031631685273790566
1987-09,0.007136971886040344
1987-10,0.05205732262422558
1987-11,0.005181347150259086
1987-12,-0.019587628865979423
1988-01,0.017350157728706517
1988-02,0.01111152454780373
1988-03,0.007666748717915173
1988-04,-0.02079633951961879
1988-05,-0.0038854166753000685
1988-06,-0.218148725949038
1988-07,0.008313934153641567
1988-08,-0.01978891820580475
1988-09,0.029273216689098325
1988-10,0.019287348806799498
1988-11,-0.02822322001282873
1988-12,0.007920792079207928
1989-01,0.02030124426981006
1989-02,-0.012195121951219523
1989-03,0.0042235217673813885
1989-04,-0.005823358136525347
1989-05,-0.033843150016270696
1989-06,0.010104412260020235
1989-07,0.037012337445815335
1989-08,-0.017363344051446905
1989-09,-0.03108638743455494
1989-10,0.00033772374197904576
1989-11,-0.027346387575962194
1989-12,0.03193335647344675
1990-01,-0.05415405314497146
1990-02,-0.03733997155049784
1990-03,-0.039527151828592566
1990-04,-0.04807692307692313
1990-05,0.06626262626262625
1990-06,0.04168245547555882
1990-07,-0.013095671153146582
1990-08,-0.023221525985993363
1990-09,-0.0018867924528301883
1990-10,0.02722117202268426
1990-11,0.03606919396393082
1990-12,0.000710479573712286
1991-01,0.0493432729854455
1991-02,-0.004397834912043264
1991-03,0.004757050628610315
1991-04,-0.007778153533987142
1991-05,-0.013633265167007469
1991-06,-0.002418797512093951
1991-07,0.022514721163837903
1991-08,0.017276422764227695
1991-09,0.025974025974025983
1991-10,-0.009412528399870168
1991-11,-0.012778505897771963
1991-12,0.014271490209093907
1992-01,0.020615183246073254
1992-02,0.005450464892593709
1992-03,-0.0401785714285714
1992-04,0.04684385382059797
1992-05,0.012694382735639387
1992-06,-0.015982450642431867
1992-07,-0.015923566878980888
1992-08,-0.021035598705501646
1992-09,0.02876033057851246
1992-10,0.03856041131105403
1992-11,-0.02289603960396036
1992-12,0.027865737808739688
1993-01,0.0021569932224276833
1993-02,0.027973672069512734
1993-03,0.018540669856459413
1993-04,-0.024955490311215467
1993-05,0.0003006321948173518
1993-06,0.034316676700782756
1993-07,0.021246100116414368
1993-08,0.041037313861583824
1993-09,-0.008212424544243313
1993-10,0.0077283984638594205
1993-11,0.02218525458876819
1993-12,0.03188681672025728
1994-01,-0.009348217357271427
1994-02,-0.04796894449533129
1994-03,-0.04680616740088106
1994-04,-0.017619410745233988
1994-05,-0.05145590052059956
1994-06,-0.00836949783013019
1994-07,0.016567677399187186
1994-08,0.0036900369003689537
1994-09,-0.022058823529411797
1994-10,0.008459147869674277
1994-11,0.024852426292674146
1994-12,-0.023037272852489687
1995-01,0.012100025020155059
1995-02,-0.00337167381974246
1995-03,0.01226649657754697
1995-04,0.0064177362893815815
1995-05,0.03864734299516903
1995-06,-0.04040651162790698
1995-07,0.018478755054223583
1995-08,0.011005829863176775
1995-09,-0.008237713097869692
1995-10,0.01394196905750511
1995-11,0.030720187244002384
1995-12,0.006812372722169613
1996-01,-0.003665518504417986
1996-02,-0.036219581211092255
1996-03,-0.01790910158543746
1996-04,0.014947675959258167
1996-05,-0.0044187313490514635
1996-06,0.00946745562130169
1996-07,0.003224384525205126
1996-08,0.0002916738338656355
1996-09,0.014895327102803835
1996-10,0.006618241557068583
1996-11,0.023156546598056105
1996-12,-0.017044306434509604
1997-01,0.009380784536668685
1997-02,0.012390870226586248
1997-03,-0.03004171124708266
1997-04,0.014912525420120337
1997-05,0.01836630986547161
1997-06,0.011653718091009901
1997-07,0.013165112452002248
1997-08,-0.008121277747698996
1997-09,0.04230393013100442
1997-10,-0.005236970835518884
1997-11,0.0028950764327133616
1997-12,0.01758572178477702
1998-01,0.019344433595281485
1998-02,-0.007591093117408909
1998-03,-0.11728709841917384
1998-04,0.004043905257076874
1998-05,0.008883774453394722
1998-06,-0.008303677342823224
1998-07,0.0033124769966874634
1998-08,0.029805575935436535
1998-09,0.03277228604506188
1998-10,-0.013796671552987805
1998-11,0.023782460435428865
