Date,America_G1
1982-06,-0.037197231833909994
1982-07,0.03998203054806826
1982-08,0.05140388768898485
1982-09,0.03615447822514373
1982-10,0.06145915939730373
1982-11,-0.009338812103100502
1982-12,0.014328808446455454
1983-01,-0.014869888475836479
1983-02,0.037735849056603765
1983-03,-0.018909090909090875
1983-04,0.02594514455151975
1983-05,-0.03287572254335258
1983-06,-0.012700784460216608
1983-07,-0.04426787741203175
1983-08,-0.001979414093428389
1983-09,0.0289567631892107
1983-10,-0.017347725520431734
1983-11,0.010592389172224381
1983-12,-0.017857142857142905
1984-01,0.012648221343873445
1984-02,-0.014832162373145996
1984-03,-0.03565768621236132
1984-04,-0.012736236647493793
1984-05,-0.05243445692883897
1984-06,0.0
1984-07,0.05841018884497151
1984-08,0.004979253112033177
1984-09,0.014037985136251097
1984-10,0.037866449511400724
1984-11,0.010592389172224381
1984-12,-0.008152173913043459
1985-01,0.02857142857142847
1985-02,-0.04109589041095896
1985-03,0.0087301587301587
1985-04,0.020456333595594067
1985-05,0.07016191210485734
1985-06,-0.010086455331412059
1985-07,-0.014919941775836998
1985-08,0.02364240857037303
1985-09,-0.010465535907614565
1985-10,0.02516411378555805
1985-11,0.027036641764496716
1985-12,0.029788708001385444
1986-01,0.0010090817356205317
1986-02,0.063508064516129
1986-03,0.03886255924170623
1986-04,-0.0048661800486617945
1986-05,-0.0443154034229829
1986-06,0.036136872401662856
1986-07,0.005555555555555536
1986-08,0.031000613873542138
1986-09,-0.032747841619529594
1986-10,0.015389350569406046
1986-11,0.009699909063352496
1986-12,-0.007505253677574264
1987-01,0.00846944948578332
1987-02,0.004799040191961534
1987-03,-0.02268656716417905
1987-04,-0.044593769089798396
1987-05,-0.015025575447570327
1987-06,0.0
1987-07,-0.0113599480688088
1987-08,-0.020354563361785982
1987-09,-0.04524128686327078
1987-10,0.04808704808704811
1987-11,-0.0013395847287340779
1987-12,0.0046948356807512415
1988-01,0.04539385847797073
1988-02,0.005747126436781658
1988-03,-0.030793650793650817
1988-04,-0.015722240419259736
1988-05,-0.019633943427620593
1988-06,0.022063815342837856
1988-07,-0.0169378943872468
1988-08,-0.004729729729729737
1988-09,0.024100475220638184
1988-10,0.016241299303944245
1988-11,-0.025766470971950395
1988-12,-0.006695681285570854
1989-01,0.010111223458038499
1989-02,-0.020687354020687332
1989-03,0.002385008517887588
1989-04,0.018354860639021142
1989-05,0.025033377837116122
1989-06,0.03126017583848917
1989-07,0.022734449005367807
1989-08,-0.03179993825254712
1989-09,-0.003826530612244916
1989-10,0.02432778489116516
1989-11,0.004999999999999893
1989-12,-0.007462686567164201
1990-01,-0.027568922305764465
1990-02,-0.006121134020618535
1990-03,-0.010048622366288451
1990-04,-0.022920759659463052
1990-05,0.028820375335120607
1990-06,0.011074918566775338
1990-07,0.005476804123711432
1990-08,-0.031079782121115063
1990-09,0.001322751322751392
1990-10,0.011889035667107084
1990-11,0.02317232375979117
1990-12,0.00797448165869219
1991-01,0.0066455696202532
1991-02,-0.0009430996541968106
1991-03,-0.005663939584644395
1991-04,0.005379746835443067
1991-05,-0.0018885741265344258
1991-06,-0.016083254493850507
1991-07,0.0099358974358974
1991-08,0.023484608060933
1991-09,0.01798449612403097
1991-10,0.0036551934206519032
1991-11,0.004855842185129022
1991-12,0.03684687405617648
1992-01,-0.03495484998543552
1992-02,0.006036824630244464
1992-03,-0.023702370237023707
1992-04,0.0003073140749847436
1992-05,0.02058371735791087
1992-06,0.005418422636965792
1992-07,0.03233532934131733
1992-08,0.009570765661252922
1992-09,0.0040218328066647935
1992-10,-0.023175965665236054
1992-11,-0.005272407732864637
1992-12,0.007361601884570135
1993-01,0.02689272142648358
1993-02,0.02362653003131232
1993-03,-0.010567296996662923
1993-04,0.007307476110174349
1993-05,-0.0025111607142856984
1993-06,0.014265734265734187
1993-07,-0.00027578599007171967
1993-08,0.021517241379310326
1993-09,-0.0029705644072374193
1993-10,-0.0024377031419284823
1993-11,-0.015204995927233234
1993-12,-0.0060656189688447215
1994-01,0.014701803051317519
1994-02,-0.02815746309458722
1994-03,-0.04331926863572433
1994-04,-0.009114966186415718
1994-05,-0.003264094955489627
1994-06,-0.01905328966954456
1994-07,0.02124430955993928
1994-08,0.0008915304606240682
1994-09,-0.0359263657957245
1994-10,-0.008007391438250688
1994-11,-0.004036013660353888
1994-12,-0.0031172069825435855
1995-01,0.01751094434021261
1995-02,0.026429010448678625
1995-03,-0.004491017964071808
1995-04,0.013533834586466176
1995-05,0.04688427299703268
1995-06,-0.0014172335600907138
1995-07,-0.01078626170877095
1995-08,0.009756097560975618
1995-09,0.002557544757033181
1995-10,0.011621315192743786
1995-11,0.015130288596245434
1995-12,0.012144631520839111
1996-01,0.0021816198527406794
1996-02,-0.029387755102040836
1996-03,-0.02298850574712641
1996-04,-0.012912482065997155
1996-05,-0.009302325581395321
1996-06,0.009389671361502261
1996-07,-0.0034883720930232176
1996-08,-0.00904317386231035
1996-09,0.01059758610538708
1996-10,0.021846781240897117
1996-11,0.01710376282782211
1996-12,-0.02130044843049328
1997-01,-0.003150057273768603
1997-02,-0.0040218328066647935
1997-03,-0.026247476204211084
1997-04,0.013921800947867213
1997-05,0.005258545135845782
1997-06,0.0031967451322290064
1997-07,0.028968713789107703
1997-08,-0.017736486486486513
1997-09,0.01003152765835491
1997-10,0.014755959137343844
1997-11,-0.0011185682326622093
1997-12,0.004759238521836462
1998-01,0.013931457230426325
1998-02,-0.00906842539159114
1998-03,-0.002773155851358844
1998-04,-0.0005561735261401246
1998-05,0.005843071786310494
