Date,Germany_G1
1990-12,-0.009099915134912373
1991-01,0.036191478879171735
1991-02,-0.013945270164093748
1991-03,-0.11283244392516933
1991-04,0.003143859587011688
1991-05,-0.00999597546134312
1991-06,-0.05358393602019662
1991-07,0.02787302159374261
1991-08,0.010645363862522128
1991-09,0.06027987947773683
1991-10,-0.0035303837623721357
1991-11,0.026038858513849794
1991-12,0.098170941223513
1992-01,-0.051542375723622635
1992-02,-0.016974728307824205
1992-03,-0.014944516297641375
1992-04,-0.0056832335471510564
1992-05,0.03641924457626544
1992-06,0.052574203259370345
1992-07,0.019765964476713638
1992-08,0.06822459868634656
1992-09,0.026756987252760656
1992-10,-0.08028376192041886
1992-11,-0.0332697313060617
1992-12,-0.006556320369346502
1993-01,0.010537047235427366
1993-02,0.005603871727957399
1993-03,0.026989236074101752
1993-04,0.006440467960836971
1993-05,-0.007793911417895205
1993-06,-0.05344534593835071
1993-07,-0.015854203712391657
1993-08,0.0596143365646733
1993-09,0.033416780847205896
1993-10,-0.019053951572019612
1993-11,-0.019943389357759078
1993-12,0.0037733063863880645
1994-01,-0.006785170767358295
1994-02,-0.018847391968666805
1994-03,0.016627450207878258
1994-04,-0.004313958610218438
1994-05,-0.02035033384945173
1994-06,0.02437646549675243
1994-07,0.02226404672878579
1994-08,-0.01733067526642773
1994-09,-0.01127424475401173
1994-10,0.03015231571381527
1994-11,-0.01553050866502681
1994-12,-0.012337606304290927
1995-01,0.03319512040606187
1995-02,0.05271564472663304
1995-03,0.06995745830238365
1995-04,3.514496925949295e-05
1995-05,0.007789945153342526
1995-06,-0.0023726371381743716
1995-07,0.013939317493603331
1995-08,-0.0507245579529737
1995-09,0.030727562361030802
1995-10,0.028678192818809567
1995-11,-0.006050012993776166
1995-12,0.014071185611546078
1996-01,-0.024531388232626572
1996-02,-0.021378844050822132
1996-03,-0.013318207624738676
1996-04,-0.027939050390081266
1996-05,-0.0016986072210470882
1996-06,-0.004193546396772718
1996-07,0.04901661732118523
1996-08,-0.005761233731833348
1996-09,-0.015766917470755315
1996-10,0.01656875925982959
1996-11,0.014790283346076016
1996-12,-0.02829609953097878
1997-01,-0.0413924838037768
1997-02,-0.013952930281250553
1997-03,-0.024397104133240144
1997-04,-0.02067947813432658
1997-05,0.00730541211161162
1997-06,-0.011652224149852342
1997-07,-0.038693294236154085
1997-08,0.008382471941423164
1997-09,0.03519109532693854
1997-10,0.020139839700627604
1997-11,-0.01301661259083875
1997-12,-0.009010016511480257
1998-01,-0.0009900918780567647
1998-02,0.017379058777520884
1998-03,-0.02039727773060518
1998-04,0.02608454645221392
1998-05,0.015325721954283056
1998-06,-0.0071240849361160485
1998-07,0.023536599906611055
1998-08,0.05054386157581958
1998-09,0.06244974433884298
1998-10,-0.011875856477510105
1998-11,-0.004445509865388164
1998-12,0.02146544142761142
1999-01,0.9366241448256085
1999-02,-0.05543804476289793
1999-03,-0.022997037582637048
1999-04,-0.009317872269273164
1999-05,-0.023130663167388543
1999-06,-0.04562785638021716
1999-07,0.019141205332170896
1999-08,-0.015030707117394182
1999-09,-0.0116848068270341
1999-10,-0.012658910719799854
1999-11,-0.04051559032802943
1999-12,-0.022518524890842384
2000-01,-0.0424934134960363
2000-02,0.001826789211903046
2000-03,0.006412569246034616
2000-04,-0.052207040599574706
2000-05,0.03159544267367509
2000-06,0.017232889054193512
2000-07,-0.025841415905433873
2000-08,-0.04984292221341102
2000-09,0.0009091989362146613
2000-10,-0.037266630555423785
2000-11,0.04550807545468594
2000-12,0.08856580885927312
2001-01,-0.006064553918498139
2001-02,-0.0052550155834545365
2001-03,-0.04315918739860536
2001-04,-0.017127240966444024
2001-05,-0.053340627684320796
2001-06,0.006237617282156993
2001-07,0.04914183378040793
2001-08,0.048875077800909494
2001-09,-0.003851339716821278
2001-10,0.02154917477063356
2001-11,-0.021236205886543846
2001-12,-0.045911740108735444
2002-01,-0.017594938747691136
2002-02,0.00807098445171106
2002-03,-0.02314758243637205
2002-04,0.046742635205659466
2002-05,0.029797460647869256
2002-06,0.08009791313212289
2002-07,0.006562764924464171
2002-08,0.01615277588507147
2002-09,0.024539578784861904
2002-10,-0.010106680631351894
2002-11,0.0049301655115332466
2002-12,0.07357406019064916
2003-01,0.036608705111290885
2003-02,0.020608515012649375
2003-03,-0.006231052634631751
2003-04,0.024746429414971516
2003-05,0.08348488546435329
2003-06,-0.03389312741817674
2003-07,-0.045212252700943756
2003-08,-0.02145437909476433
2003-09,0.07192200877118093
2003-10,-0.026969532031673404
2003-11,0.02608739817653616
2003-12,0.05721026012918062
2004-01,0.0004324540359814666
2004-02,0.01867854826762949
2004-03,-0.012605758334706785
2004-04,-0.04248169006840319
2004-05,0.00717483820736553
2004-06,0.00048130440469096314
2004-07,-0.003969286867582356
2004-08,0.03222580073600545
2004-09,0.015289689926198724
2004-10,0.03808485949540619
2004-11,0.05215713412028844
2004-12,0.03016444991613576
2005-01,-0.032528206880508836
2005-02,0.003236851584692113
2005-03,-0.02009127771472141
2005-04,0.0125147053134822
2005-05,-0.031028318131985255
2005-06,-0.010239348871828202
2005-07,-0.0057146147351815335
2005-08,0.029360026331354705
2005-09,-0.03574303609517093
2005-10,-0.020814825473382426
2005-11,-0.017827641879425205
2005-12,0.017007489652569818
2006-01,0.016828154067671353
2006-02,-0.020862562640075466
2006-03,-0.009114747702746895
2006-04,0.02624797989435046
2006-05,0.019967392401982975
2006-06,-0.009698513989806812
2006-07,0.01132866447969283
2006-08,0.014885899295860927
2006-09,-0.009944129404459101
2006-10,0.00423490168244034
