Date,France_G1
2012-05,-0.017622524945287155
2012-06,-0.01170258875636232
2012-07,0.018956112585204465
2012-08,0.021066964875803507
2012-09,0.021206206513881165
2012-10,0.012478161027595025
2012-11,0.020771267085444745
2012-12,0.00910327779376785
2013-01,0.010219796525472669
2013-02,-0.027051822184816054
2013-03,-0.012559573461213502
2013-04,0.05586571356200731
2013-05,-0.03142533622930577
2013-06,-0.033455088676590194
2013-07,0.03357723700765569
2013-08,-0.019128635435159524
2013-09,0.025762331343998746
2013-10,0.020809964508810674
2013-11,0.003143791333516832
2013-12,-0.015751659215770264
2014-01,0.013793432486418178
2014-02,0.02882495051032974
2014-03,-0.0040946284591980575
2014-04,0.01881553174903372
2014-05,-0.0002873529112720208
2014-06,0.006685633564054605
2014-07,-0.010772600584496472
2014-08,0.004309336421122412
2014-09,-0.049975630948748906
2014-10,-0.000609669460647333
2014-11,0.010034465554288108
2014-12,-0.02825376347825137
2015-01,-0.04984967533026541
2015-02,-0.0057867159765755405
2015-03,-0.004599689792897044
2015-04,0.033478266388136335
2015-05,-0.03147692177395289
2015-06,-0.026875691244366617
2015-07,0.008019285846187163
2015-08,0.007060338914001596
2015-09,0.023373133250709444
2015-10,-0.004712165331711482
2015-11,-0.03243976812005822
2015-12,-0.0016780754712949486
2016-01,0.026825925709517584
2016-02,0.019643134169752274
2016-03,0.05573338110684234
2016-04,-0.006215810361937302
2016-05,-0.013648077282241267
2016-06,0.011635176921501289
2016-07,0.014656159349984543
2016-08,-0.006746606754265971
2016-09,-0.0004505648827047848
2016-10,-0.04593742296220604
2016-11,-0.05647574563517921
2016-12,-0.013733079668894033
2017-01,-0.0002509237129180164
2017-02,-0.00674045266153267
2017-03,-0.012092505351188887
2017-04,0.04202585261486602
2017-05,0.0438459594889371
2017-06,-0.004492527270027802
2017-07,0.03844679569629039
2017-08,0.019100641871741653
2017-09,0.020906941690770342
2017-10,0.00041605264509469997
2017-11,0.02973519192831975
2017-12,-0.01341068735380424
2018-01,0.01901947675717075
2018-02,-0.01286327621530059
2018-03,0.01670709406829829
2018-04,-0.02487498912080055
2018-05,-0.020141304585041264
2018-06,-0.008030120663670481
2018-07,-0.004776194923206467
2018-08,-0.0019761195804919307
2018-09,-0.022685544870160723
2018-10,-0.019353724531597116
2018-11,0.008006306726236145
2018-12,-0.0021965758077928665
2019-01,0.012433261919335914
2019-02,-0.006725330702793464
2019-03,0.04957581001101574
2019-04,-0.004453818377177732
2019-05,0.010744311804917972
2019-06,0.021097025225180532
2019-07,-0.012088423529081904
2019-08,0.010671734415723888
2019-09,-0.008588425715583825
2019-10,0.011711278177016116
2019-11,-0.016586441578894107
2019-12,-0.011723035829492634
2020-01,0.01639913899107559
2020-02,0.0029030116869419587
2020-03,-0.00834426811666722
2020-04,0.0022796846446611063
2020-05,0.011537557625275197
2020-06,0.006937877234261647
2020-07,0.05540737212284963
2020-08,0.005681759104533057
2020-09,-0.011717180013712136
2020-10,0.0029078954978554172
2020-11,0.022165537631180232
2020-12,0.012547214889989444
2021-01,-0.011108847591408177
2021-02,-0.026983623932871348
2021-03,-0.037185891957294714
2021-04,0.015402167394970245
2021-05,0.016858971246748178
2021-06,-0.038637018478809404
2021-07,0.019961229343546716
2021-08,-0.010367685254655812
2021-09,0.009331331924854469
2021-10,-0.013121509194739533
2021-11,0.006374471415651728
2021-12,-0.02756036232027892
2022-01,-0.02520059574707767
2022-02,-0.018278840197069268
2022-03,-0.05569635925732386
2022-04,-0.08298963514258695
2022-05,0.005815734996474253
2022-06,-0.0609618435193825
2022-07,0.030734626860375425
2022-08,-0.0730377383693348
2022-09,-0.06667405071660559
2022-10,0.013901723071252592
2022-11,0.08226696963870128
2022-12,-0.04099356686567557
2023-01,0.04841439618568599
2023-02,-0.054818034790923176
2023-03,0.045235512114566445
2023-04,0.01476556099412174
2023-05,-0.02582606259766973
2023-06,0.0037787001486087046
2023-07,0.0013858012034180245
2023-08,-0.011127818958197144
2023-09,-0.06085637006975786
