Date,Japan_G1
1985-11,0.06098576033716041
1985-12,0.04202959297268305
1986-01,0.04321419610031141
1986-02,0.09439302437252128
1986-03,0.043545009853603656
1986-04,0.0534543476264413
1986-05,-0.07744837161266427
1986-06,0.08673551421076175
1986-07,0.07273361066099526
1986-08,0.012635663086921989
1986-09,-0.025727850664075014
1986-10,-0.05345495805376632
1986-11,0.022922961367885852
1986-12,0.02447325838469827
1987-01,0.04169672258658075
1987-02,0.018509088985976918
1987-03,0.06346607975555574
1987-04,0.10001920446816892
1987-05,-0.014742884446300897
1987-06,-0.07204503921401506
1987-07,-0.0545114925101583
1987-08,0.0430570917074371
1987-09,-0.09948390039668642
1987-10,0.1401765973329412
1987-11,0.053519819985067496
1987-12,0.10161595332823614
1988-01,-0.03372411792123342
1988-02,-0.002887731902167956
1988-03,0.025744693782756345
1988-04,-0.004724505164787063
1988-05,-0.012315550485628046
1988-06,-0.0984232411169047
1988-07,0.007992785718296869
1988-08,-0.03728888554272147
1988-09,0.01826968209536939
1988-10,0.12809399345293992
1988-11,0.031440712049941366
1988-12,-0.038716428322288055
1989-01,-0.034840848806365954
1989-02,0.017403284747850245
1989-03,-0.05964396609573763
1989-04,-0.0013671989437452625
1989-05,-0.0695553117865022
1989-06,-0.021566702689721384
1989-07,0.08474230387209825
1989-08,-0.05228094771768621
1989-09,0.02637177852441175
1989-10,-0.03399186076290939
1989-11,-0.001835121600531786
1989-12,-0.015167356284657818
1990-01,-0.06577833393902088
1990-02,-0.05186413056836803
1990-03,-0.06919824826549936
1990-04,-0.00701653531326607
1990-05,0.06891914107946784
1990-06,-0.017239142622749615
1990-07,0.028693567047384905
1990-08,-0.02031001226099427
1990-09,0.014169181472417414
1990-10,0.1164017406403497
1990-11,-0.001671149577377351
1990-12,-0.0016942909760588876
1991-01,0.045512480382034814
1991-02,-0.010051412856577735
1991-03,-0.05862318413313794
1991-04,0.02439694329425346
1991-05,-0.010720468761739488
1991-06,-0.007217064018814057
1991-07,0.02032367738928431
1991-08,0.015728826341562474
1991-09,0.05071132856605187
1991-10,0.021012736975262625
1991-11,0.006009155964130208
1991-12,0.07114922892122943
1992-01,-0.007208062884347166
1992-02,-0.029389663521749987
1992-03,-0.025045139933794758
1992-04,-0.023404494779504348
1992-05,0.05815375547155477
1992-06,0.022884638724560036
1992-07,0.00771049633301879
1992-08,0.0375157923608187
1992-09,0.03763249743271313
1992-10,-0.018706805765625778
1992-11,-0.006646281678623689
1992-12,0.0032858673818474404
1993-01,0.010281219894594074
1993-02,0.07766037057337671
1993-03,-0.00024045545868234264
1993-04,0.027624789985058573
1993-05,0.03909554761411416
1993-06,0.003955852404128324
1993-07,0.040007391115686186
1993-08,0.015488716746034026
1993-09,-0.005256755152075132
1993-10,-0.009925827051823988
1993-11,0.014052707946087706
1993-12,-0.01614306407454802
1994-01,-0.006573470273859905
1994-02,0.033598233995584925
1994-03,0.01342353569521082
1994-04,0.013202132505746755
1994-05,-0.025690651964354494
1994-06,0.028265773655228754
1994-07,-0.018963591954188508
1994-08,-0.012126857249962764
1994-09,0.012827674894660523
1994-10,0.021545303079187894
1994-11,-0.013236654127873115
1994-12,-0.007122610456095746
1995-01,-0.0023702905476561398
1995-02,0.052017026290694934
1995-03,0.15663432012348633
1995-04,0.04268578035432524
1995-05,0.037449247535576324
1995-06,-0.0032541394430231074
1995-07,-0.049367354142674014
1995-08,-0.10749841815445649
1995-09,0.003240823777287405
1995-10,-0.02033731920798898
1995-11,0.012474092870046416
1995-12,-0.03963081083085629
1996-01,-0.03418614523103436
1996-02,0.010578100991815775
1996-03,-0.013725497732911984
1996-04,0.007537258937879487
1996-05,-0.010724227404133924
1996-06,-0.020782526808226343
1996-07,0.025347762089063197
1996-08,0.008742045304172885
1996-09,-0.024429573490284517
1996-10,0.0027162808262133353
1996-11,0.007282181351147887
1996-12,-0.03120025240561275
1997-01,-0.029654919265657886
1997-02,0.007961465910647059
1997-03,-0.031241122146608458
1997-04,-0.03284827602754037
1997-05,0.08366812389680489
1997-06,0.01601000397929031
1997-07,-0.01518577792157505
1997-08,-0.010773841136083151
1997-09,0.011515521240234694
1997-10,0.015647021616534973
1997-11,-0.06125346689656519
1997-12,-0.023239234882613702
1998-01,0.019944224426644785
1998-02,0.013948126055925325
1998-03,-0.04828441819870899
1998-04,0.010506314713255138
1998-05,-0.026252499810765717
1998-06,-0.0066677359998971175
1998-07,-0.03464655996114252
1998-08,0.05372124931232536
1998-09,0.046202293179693044
1998-10,0.1749722700728371
1998-11,-0.06892660783614568
1998-12,0.011367249970670068
1999-01,-0.015679895302026847
1999-02,-0.008331606719322204
1999-03,0.014002401145359222
1999-04,0.01564938633449331
1999-05,-0.014477627181908481
1999-06,-0.043153909711544536
1999-07,0.07143581175508151
1999-08,0.04071538752539694
1999-09,0.0323732417637741
1999-10,-0.0010979797712739048
1999-11,0.029119101913385848
1999-12,0.025781187928178184
2000-01,-0.03964093122531642
2000-02,-0.03755313581731867
2000-03,0.06842045156163334
2000-04,-0.04341433479055834
2000-05,0.015606898297370053
2000-06,0.0064000238180772495
2000-07,-0.02257728930239955
2000-08,0.011996521128894155
2000-09,-0.010305219108783348
2000-10,0.0003959016382295566
2000-11,0.0020213792716778922
2000-12,-0.03949626368040626
2001-01,-0.0036147816132902078
2001-02,0.0035545436410377995
2001-03,-0.06676944616351821
2001-04,0.025296145842458095
2001-05,0.045236077224164895
2001-06,-0.04307353284266713
2001-07,-0.009110046214006462
2001-08,0.052653586321876666
2001-09,-0.008643295928381756
