Date,Türkiye_Rep_of_Interest_Rate
2015-09,7.25
2015-10,7.25
2015-11,7.25
2015-12,7.25
2016-01,7.25
2016-02,7.25
2016-03,7.25
2016-04,7.25
2016-05,7.25
2016-06,7.25
2016-07,7.25
2016-08,7.25
2016-09,7.25
2016-10,7.25
2016-11,7.25
2016-12,7.25
2017-01,7.25
2017-02,7.25
2017-03,7.25
2017-04,7.25
2017-05,7.25
2017-06,7.25
2017-07,7.25
2017-08,7.25
2017-09,7.25
2017-10,7.25
2017-11,7.25
2017-12,7.25
2018-01,7.25
2018-02,7.25
2018-03,7.25
2018-04,7.25
2018-05,7.25
2018-06,16.25
2018-07,16.25
2018-08,16.25
2018-09,22.5
2018-10,22.5
2018-11,22.5
2018-12,22.5
2019-01,22.5
2019-02,22.5
2019-03,22.5
2019-04,22.5
2019-05,22.5
2019-06,22.5
2019-07,18.25
2019-08,18.25
2019-09,15.0
2019-10,12.5
2019-11,12.5
2019-12,10.5
2020-01,9.75
2020-02,9.25
2020-03,8.25
2020-04,7.25
2020-05,6.75
2020-06,6.75
2020-07,6.75
2020-08,6.75
2020-09,8.75
2020-10,8.75
2020-11,13.5
2020-12,15.5
2021-01,15.5
2021-02,15.5
2021-03,17.5
2021-04,17.5
2021-05,17.5
2021-06,17.5
2021-07,17.5
2021-08,17.5
2021-09,16.5
2021-10,14.5
2021-11,13.5
2021-12,12.5
2022-01,12.5
2022-02,12.5
2022-03,12.5
2022-04,12.5
2022-05,12.5
2022-06,12.5
2022-07,12.5
2022-08,11.5
2022-09,10.5
2022-10,9.0
2022-11,7.5
2022-12,7.5
