Date,United_States_CPI_Growth
1965-01,0.97
1965-02,0.97
1965-03,1.29
1965-04,1.62
1965-05,1.62
1965-06,1.94
1965-07,1.61
1965-08,1.94
1965-09,1.61
1965-10,1.93
1965-11,1.6
1965-12,1.92
1966-01,1.92
1966-02,2.56
1966-03,2.56
1966-04,2.87
1966-05,2.87
1966-06,2.53
1966-07,2.85
1966-08,3.48
1966-09,3.48
1966-10,3.79
1966-11,3.79
1966-12,3.46
1967-01,3.46
1967-02,2.81
1967-03,2.8
1967-04,2.48
1967-05,2.79
1967-06,2.78
1967-07,2.77
1967-08,2.45
1967-09,2.75
1967-10,2.43
1967-11,2.74
1967-12,3.04
1968-01,3.65
1968-02,3.95
1968-03,3.94
1968-04,3.93
1968-05,3.92
1968-06,4.2
1968-07,4.49
1968-08,4.48
1968-09,4.46
1968-10,4.75
1968-11,4.73
1968-12,4.72
1969-01,4.4
1969-02,4.68
1969-03,5.25
1969-04,5.52
1969-05,5.51
1969-06,5.48
1969-07,5.44
1969-08,5.71
1969-09,5.7
1969-10,5.67
1969-11,5.93
1969-12,6.2
1970-01,6.18
1970-02,6.15
1970-03,5.82
1970-04,6.06
1970-05,6.04
1970-06,6.01
1970-07,5.98
1970-08,5.41
1970-09,5.66
1970-10,5.63
1970-11,5.6
1970-12,5.57
1971-01,5.29
1971-02,5.0
1971-03,4.71
1971-04,4.16
1971-05,4.4
1971-06,4.64
1971-07,4.36
1971-08,4.62
1971-09,4.08
1971-10,3.81
1971-11,3.28
1971-12,3.27
1972-01,3.27
1972-02,3.51
1972-03,3.5
1972-04,3.49
1972-05,3.23
1972-06,2.71
1972-07,2.95
1972-08,2.94
1972-09,3.19
1972-10,3.42
1972-11,3.67
1972-12,3.41
1973-01,3.65
1973-02,3.87
1973-03,4.59
1973-04,5.06
1973-05,5.53
1973-06,6.0
1973-07,5.73
1973-08,7.38
1973-09,7.36
1973-10,7.8
1973-11,8.25
1973-12,8.71
1974-01,9.39
1974-02,10.02
1974-03,10.39
