Security,USOSFR10 BGN Curncy
Start Date,1/31/2007 0:00
End Date,9/29/2023 0:00
Period,M
Currency,USD
,
Date,PX_LAST
9/29/2023,4.265
8/31/2023,3.8274
7/31/2023,3.699
6/30/2023,3.5825
5/31/2023,3.386
4/28/2023,3.1488
3/31/2023,3.174
2/28/2023,3.655
1/31/2023,3.2067
12/30/2022,3.5575
11/30/2022,3.278
10/31/2022,3.8025
9/30/2022,3.5904
8/31/2022,2.9985
7/29/2022,2.4373
6/30/2022,2.811
5/31/2022,2.646
4/29/2022,2.7362
3/31/2022,2.1287
2/28/2022,1.6478
1/31/2022,1.5891
12/31/2021,1.3213
11/30/2021,1.2551
10/29/2021,1.3039
9/30/2021,1.2557
8/31/2021,1.0765
7/30/2021,1.0029
6/30/2021,1.193
5/31/2021,1.3233
4/30/2021,1.374
3/31/2021,1.5224
2/26/2021,1.233
1/29/2021,0.8795
12/31/2020,0.705
11/30/2020,0.6291
10/30/2020,0.653
9/30/2020,0.474
8/31/2020,0.4785
7/31/2020,0.2695
6/30/2020,0.379
5/29/2020,0.3875
4/30/2020,0.3885
3/31/2020,0.4507
2/28/2020,0.8745
1/31/2020,1.2245
12/31/2019,1.6637
11/29/2019,1.4735
10/31/2019,1.356
9/30/2019,1.3283
8/30/2019,1.1304
7/31/2019,1.6822
6/28/2019,1.699
5/31/2019,1.8108
4/30/2019,2.2039
3/29/2019,2.1109
2/28/2019,2.4142
1/31/2019,2.3191
12/31/2018,2.3823
11/30/2018,2.6843
10/31/2018,2.8235
9/28/2018,2.7576
8/31/2018,2.5321
7/31/2018,2.6377
6/29/2018,2.5139
5/31/2018,2.474
4/30/2018,2.5422
3/30/2018,2.3519
2/28/2018,2.4559
1/31/2018,2.3561
12/29/2017,2.0382
11/30/2017,2.0683
10/31/2017,2.0204
9/29/2017,1.9441
8/31/2017,1.7163
7/31/2017,1.905
6/30/2017,1.9612
5/31/2017,1.8458
4/28/2017,1.8907
3/31/2017,2.0069
2/28/2017,1.9385
1/31/2017,1.9364
12/30/2016,1.9395
11/30/2016,1.8313
10/31/2016,1.2822
9/30/2016,1.029
8/31/2016,1.0052
7/29/2016,0.9144
6/30/2016,0.9702
5/31/2016,1.3397
4/29/2016,1.3283
3/31/2016,1.2593
2/29/2016,1.2052
1/29/2016,1.4764
12/31/2015,1.8514
11/30/2015,1.7758
10/30/2015,1.7741
9/30/2015,1.7177
8/31/2015,1.9996
7/31/2015,1.9969
6/30/2015,2.1931
5/29/2015,1.9398
4/30/2015,1.8466
3/31/2015,1.7483
2/27/2015,1.8402
1/30/2015,1.4992
12/31/2014,2.0014
11/28/2014,2.0317
10/31/2014,2.1976
9/30/2014,2.3648
8/29/2014,2.2163
7/31/2014,2.4221
6/30/2014,2.3865
5/30/2014,2.3193
4/30/2014,2.4669
3/31/2014,2.5271
2/28/2014,2.4309
1/31/2014,2.4504
12/31/2013,2.7793
11/29/2013,2.4929
10/31/2013,2.3546
9/30/2013,2.4111
8/30/2013,2.6201
7/31/2013,2.4162
6/28/2013,2.3349
5/31/2013,1.9985
4/30/2013,1.5635
3/29/2013,1.7032
2/28/2013,1.6767
1/31/2013,1.7743
12/31/2012,1.5172
11/30/2012,1.3695
10/31/2012,1.4648
9/28/2012,1.435
8/31/2012,1.3668
7/31/2012,1.2809
6/29/2012,1.4205
5/31/2012,1.3453
4/30/2012,1.6644
3/30/2012,1.9383
2/29/2012,1.7042
1/31/2012,1.5699
12/30/2011,1.6152
11/30/2011,1.8213
10/31/2011,1.919
9/30/2011,1.7608
8/31/2011,2.0649
7/29/2011,2.592
6/30/2011,3.0009
5/31/2011,2.8993
4/29/2011,3.1003
3/31/2011,3.2638
2/28/2011,3.2199
1/31/2011,3.1501
12/31/2010,3.0572
11/30/2010,2.6154
10/29/2010,2.3875
9/30/2010,2.2883
8/31/2010,2.1971
7/30/2010,2.6199
6/30/2010,2.6555
5/31/2010,3.0318
4/30/2010,3.4065
3/31/2010,3.6005
2/26/2010,3.4236
1/29/2010,3.4881
12/31/2009,3.7806
11/30/2009,3.066
10/30/2009,3.3452
9/30/2009,3.2408
8/31/2009,3.3837
7/31/2009,3.4893
6/30/2009,3.548
5/29/2009,3.3534
4/30/2009,2.8914
3/31/2009,2.4969
2/27/2009,2.9445
1/30/2009,2.738
12/31/2008,2.2103
11/28/2008,2.6741
10/31/2008,4.0504
9/30/2008,3.9545
8/29/2008,4.0603
7/31/2008,4.2887
6/30/2008,4.3796
5/30/2008,4.4231
4/30/2008,4.0504
3/31/2008,3.8076
2/29/2008,3.9494
1/31/2008,3.9943
12/31/2007,4.4168
11/30/2007,4.3321
10/31/2007,4.9112
9/28/2007,5.0003
8/31/2007,5.0115
7/31/2007,5.3349
6/29/2007,5.5424
5/31/2007,5.3279
4/30/2007,5.0335
3/30/2007,5.0344
2/28/2007,4.972
1/31/2007,5.1917
