Security,SASW2 BGN Curncy
Start Date,2/28/1995 0:00
End Date,9/29/2023 0:00
Period,M
Currency,ZAR
,
Date,PX_LAST
2/29/2000,11.775
1/31/2000,11.75
12/31/1999,11.94
11/30/1999,12.42
10/29/1999,12.47
9/30/1999,12.53
8/31/1999,12.735
7/30/1999,12.6
6/30/1999,13.205
5/31/1999,13.85
4/30/1999,13.575
3/31/1999,13.88
2/26/1999,14.075
1/29/1999,15.7
12/31/1998,16.09
11/30/1998,16.3
10/30/1998,16.19
9/30/1998,18.675
8/31/1998,20.7
7/31/1998,16.9
6/30/1998,15.175
5/29/1998,13.85
4/30/1998,12.48
3/31/1998,12.775
2/27/1998,13.285
1/30/1998,13.625
12/31/1997,13.85
11/28/1997,14.375
10/31/1997,14.575
9/30/1997,14.025
8/29/1997,14.225
7/31/1997,14
6/30/1997,14.475
5/30/1997,14.925
4/30/1997,14.875
3/31/1997,15.1
2/28/1997,14.875
1/31/1997,14.975
12/31/1996,16.05
11/29/1996,15.675
10/31/1996,15.65
9/30/1996,14.55
8/30/1996,14.9
7/31/1996,15.225
6/28/1996,13.95
5/31/1996,15.3
4/30/1996,15.575
3/29/1996,14
2/29/1996,13.975
1/31/1996,13.125
12/29/1995,13.775
11/30/1995,14.025
10/31/1995,14.175
9/29/1995,14.65
8/31/1995,15.05
7/31/1995,15.5
6/30/1995,15.55
5/31/1995,15.9
4/28/1995,15.5
3/31/1995,14.95
2/28/1995,15.45
