Security,KRWSQQ2 BGN Curncy
Start Date,1/31/2022 0:00
End Date,9/29/2023 0:00
Period,M
Currency,KRW
,
Date,PX_LAST
9/29/2023,3.175
8/31/2023,3.025
7/31/2023,3.045
6/30/2023,2.95
5/31/2023,2.81
4/28/2023,2.57
3/31/2023,2.81
2/28/2023,3.285
1/31/2023,3.03
12/30/2022,3.14
11/30/2022,2.995
10/31/2022,2.855
9/30/2022,3.01
8/31/2022,3
7/29/2022,2.195
6/30/2022,2.38
5/31/2022,2.035
4/29/2022,1.795
3/31/2022,1.68
2/28/2022,1.155
1/31/2022,1.235
