Security,IDRSSS2 CMPN Curncy
Start Date,3/31/2022 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,IDR
,
Date,PX_LAST
9/29/2023,5.7
8/31/2023,5.7
7/31/2023,5.7
6/30/2023,5.7
5/31/2023,5.675
4/28/2023,5.6
3/31/2023,5.725
2/28/2023,5.725
1/31/2023,5.725
12/30/2022,5.725
11/30/2022,5.725
10/31/2022,4.775
9/30/2022,4.925
8/31/2022,4.725
7/29/2022,4.625
6/30/2022,4.95
5/31/2022,4.85
4/29/2022,4.505
3/31/2022,4.405
