Security,SASW10 BGN Curncy
Start Date,10/31/1995 0:00
End Date,9/29/2023 0:00
Period,M
Currency,ZAR
,
Date,PX_LAST
9/29/2023,9.88
8/31/2023,9.3035
7/31/2023,9.33
6/30/2023,9.605
5/31/2023,10.3
4/28/2023,9.345
3/31/2023,9.0545
2/28/2023,9.21
1/31/2023,8.72
12/30/2022,9.165
11/30/2022,8.965
10/31/2022,9.56
9/30/2022,9.625
8/31/2022,8.99
7/29/2022,8.79
6/30/2022,9.05
5/31/2022,8.41
4/29/2022,8.465
3/31/2022,7.92
2/28/2022,7.675
1/31/2022,7.705
12/31/2021,7.43
11/30/2021,7.75
10/29/2021,7.89
9/30/2021,7.555
8/31/2021,7.15
7/30/2021,7.16
6/30/2021,7.351
5/31/2021,7.34
4/30/2021,7.615
3/31/2021,7.66
2/26/2021,7.58
1/29/2021,6.69
12/31/2020,6.595
11/30/2020,6.92
10/30/2020,7.05
9/30/2020,7.04
8/31/2020,7.1
7/31/2020,7.015
6/30/2020,6.98
5/29/2020,7.09
4/30/2020,7.9
3/31/2020,8.605
2/28/2020,7.575
1/31/2020,7.48
12/31/2019,7.68
11/29/2019,7.86
10/31/2019,7.8
9/30/2019,7.66
8/30/2019,7.55
7/31/2019,7.78
6/28/2019,7.7
5/31/2019,7.87
4/30/2019,8.03
3/29/2019,7.985
2/28/2019,8.04
1/31/2019,7.95
12/31/2018,8.19
11/30/2018,8.32
10/31/2018,8.67
9/28/2018,8.505
8/31/2018,8.49
7/31/2018,8.08
6/29/2018,8.29
5/31/2018,7.97
4/30/2018,7.73
3/30/2018,7.63
2/28/2018,7.715
1/31/2018,8.003
12/29/2017,7.925
11/30/2017,8.52
10/31/2017,8.35
9/29/2017,7.85
8/31/2017,7.77
7/31/2017,7.85
6/30/2017,8.04
5/31/2017,7.875
4/28/2017,7.99
3/31/2017,8.155
2/28/2017,8.135
1/31/2017,8.23
12/30/2016,8.33
11/30/2016,8.535
10/31/2016,8.135
9/30/2016,8.079
8/31/2016,8.415
7/29/2016,8.13
6/30/2016,8.33
5/31/2016,9
4/29/2016,8.57
3/31/2016,8.69
2/29/2016,9.005
1/29/2016,8.825
12/31/2015,9.465
11/30/2015,8.44
10/30/2015,8.2
9/30/2015,8.385
8/31/2015,8.29
7/31/2015,8.28
6/30/2015,8.32
5/29/2015,8.155
4/30/2015,7.88
3/31/2015,7.716
2/27/2015,7.57
1/30/2015,7.035
12/31/2014,7.943
11/28/2014,7.455
10/31/2014,7.825
9/30/2014,8.238
8/29/2014,7.875
7/31/2014,8.145
6/30/2014,8.205
5/30/2014,8.24
4/30/2014,8.295
3/31/2014,8.4
2/28/2014,8.594
1/31/2014,8.885
12/31/2013,8.235
11/29/2013,8.3
10/31/2013,7.95
9/30/2013,8.02
8/30/2013,8.395
7/31/2013,8.205
6/28/2013,7.965
5/31/2013,7.515
4/30/2013,6.5
3/29/2013,7.09
2/28/2013,6.89
1/31/2013,6.91
12/31/2012,6.71
11/30/2012,6.88
10/31/2012,7.062
9/28/2012,6.7
8/31/2012,6.67
7/31/2012,6.555
6/29/2012,7.15
5/31/2012,7.54
4/30/2012,7.548
3/30/2012,7.63
2/29/2012,7.545
1/31/2012,7.368
12/30/2011,7.6
11/30/2011,7.55
10/31/2011,7.51
9/30/2011,7.88
8/31/2011,7.22
7/29/2011,7.94
6/30/2011,8.155
5/31/2011,8.08
4/29/2011,8.17
3/31/2011,8.435
2/28/2011,8.38
1/31/2011,8.57
12/31/2010,7.76
11/30/2010,7.84
10/29/2010,7.245
9/30/2010,7.46
8/31/2010,7.4025
7/30/2010,7.735
6/30/2010,8.175
5/31/2010,8.21
4/30/2010,8.18
3/31/2010,8.285
2/26/2010,8.55
1/29/2010,8.815
12/31/2009,8.79
11/30/2009,8.79
10/30/2009,8.8
9/30/2009,8.915
8/31/2009,8.5
7/31/2009,8.82
6/30/2009,8.85
5/29/2009,8.67
4/30/2009,8.595
3/31/2009,8.51
2/27/2009,8.73
1/30/2009,8.11
12/31/2008,7.69
11/28/2008,8.4225
10/31/2008,8.916
9/30/2008,9.206
8/29/2008,9.445
7/31/2008,9.615
6/30/2008,11.46
5/30/2008,10.63
4/30/2008,10.2
3/31/2008,9.86
2/29/2008,9.71
1/31/2008,9.535
12/31/2007,9.17
11/30/2007,9.145
10/31/2007,8.67
9/28/2007,9.045
8/31/2007,9.405
7/31/2007,9.355
6/29/2007,9.18
5/31/2007,8.52
4/30/2007,8.14
3/30/2007,8.21
2/28/2007,8.13
1/31/2007,8.32
12/29/2006,8.24
11/30/2006,8.29
10/31/2006,8.35
9/29/2006,8.86
8/31/2006,9.02
7/31/2006,8.88
6/30/2006,8.93
5/31/2006,7.93
4/28/2006,7.52
3/31/2006,7.665
2/28/2006,7.475
1/31/2006,7.485
12/30/2005,7.535
11/30/2005,7.795
10/31/2005,8.12
9/30/2005,8.16
8/31/2005,8.02
7/29/2005,7.92
6/30/2005,7.965
5/31/2005,8.47
4/29/2005,8.41
3/31/2005,8.685
2/28/2005,7.715
1/31/2005,8.02
12/31/2004,8.12
11/30/2004,8.62
10/29/2004,8.945
9/30/2004,9.39
8/31/2004,9.52
7/30/2004,10.02
6/30/2004,10.35
5/31/2004,10.39
4/30/2004,10.26
3/31/2004,10.03
2/27/2004,9.965
1/30/2004,10.1
12/31/2003,9.57
11/28/2003,9.48
10/31/2003,9.505
9/30/2003,9.67
8/29/2003,9.945
7/31/2003,9.68
6/30/2003,9.405
5/30/2003,9.74
4/30/2003,10.125
3/31/2003,10.125
2/28/2003,10.105
1/31/2003,10.16
12/31/2002,10.58
11/29/2002,10.57
10/31/2002,11.455
9/30/2002,11.585
8/30/2002,11.355
7/31/2002,11.045
6/28/2002,11.845
5/31/2002,11.68
4/30/2002,12
3/29/2002,13.19
2/28/2002,12.47
1/31/2002,12.05
12/31/2001,11.395
11/30/2001,10.23
10/31/2001,10.375
9/28/2001,10.62
8/31/2001,10.69
7/31/2001,10.48
6/29/2001,10.76
5/31/2001,11.675
4/30/2001,11.915
3/30/2001,12.065
2/28/2001,11.52
1/31/2001,12.175
12/29/2000,12.49
11/30/2000,13
10/31/2000,13.525
9/29/2000,13.305
8/31/2000,13.3
7/31/2000,13.455
6/30/2000,13.945
5/31/2000,14.175
4/28/2000,14.215
3/31/2000,13.845
2/29/2000,13.415
1/31/2000,13.55
12/31/1999,13.44
11/30/1999,14.08
10/29/1999,14.49
9/30/1999,14.715
