Security,SASW10 BGN Curncy
8/31/1999,14.935
7/30/1999,14.85
6/30/1999,14.8
5/31/1999,14.85
4/30/1999,14.295
3/31/1999,14.525
2/26/1999,14.25
1/29/1999,15.5
12/31/1998,15.71
11/30/1998,15.9
10/30/1998,15.4
9/30/1998,17.4
8/31/1998,19.25
7/31/1998,15.4
6/30/1998,14.9
5/29/1998,13.775
4/30/1998,12.75
3/31/1998,12.995
2/27/1998,13.175
1/30/1998,13.45
12/31/1997,13.65
11/28/1997,14.195
10/31/1997,14.575
9/30/1997,13.86
8/29/1997,14.095
7/31/1997,13.85
6/30/1997,14.3
5/30/1997,14.8
4/30/1997,14.75
3/31/1997,15.05
2/28/1997,14.75
1/31/1997,15.1
12/31/1996,16
11/29/1996,15.75
10/31/1996,15.8
9/30/1996,14.9
8/30/1996,15.3
7/31/1996,15.5
6/28/1996,14.6
5/31/1996,15.75
4/30/1996,15.875
3/29/1996,14.9
2/29/1996,14.45
1/31/1996,13.625
12/29/1995,14.1
11/30/1995,14.35
10/31/1995,14.9
