Security,CDSO10 BGN Curncy
Start Date,11/30/2011 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,CAD
,
Date,PX_LAST
9/29/2023,4.161
8/31/2023,3.7513
7/31/2023,3.68
6/30/2023,3.4471
5/31/2023,3.341
4/28/2023,2.9693
3/31/2023,2.984
2/28/2023,3.4151
1/31/2023,3.004
12/30/2022,3.4005
11/30/2022,3.091
10/31/2022,3.414
9/30/2022,3.338
8/31/2022,3.299
7/29/2022,2.793
6/30/2022,3.353
5/31/2022,3.03
4/29/2022,3.0174
3/31/2022,2.5738
2/28/2022,2.029
1/31/2022,1.98
12/31/2021,1.652
11/30/2021,1.7101
10/29/2021,1.901
9/30/2021,1.6783
8/31/2021,1.428
7/30/2021,1.3805
6/30/2021,1.5598
5/31/2021,1.648
4/30/2021,1.723
3/31/2021,1.8129
2/26/2021,1.548
1/29/2021,1.113
12/31/2020,0.915
11/30/2020,0.9065
10/30/2020,0.8791
9/30/2020,0.794
8/31/2020,0.835
7/31/2020,0.672
6/30/2020,0.755
5/29/2020,0.722
4/30/2020,0.727
3/31/2020,0.786
2/28/2020,1.223
1/31/2020,1.386
12/31/2019,1.846
11/29/2019,1.588
10/31/2019,1.517
9/30/2019,1.412
8/30/2019,1.239
7/31/2019,1.545
6/28/2019,1.524
5/31/2019,1.599
4/30/2019,1.842
3/29/2019,1.733
2/28/2019,2.07
1/31/2019,2.017
12/31/2018,2.095
11/30/2018,2.351
10/31/2018,2.532
9/28/2018,2.433
8/31/2018,2.243
7/31/2018,2.308
6/29/2018,2.183
5/31/2018,2.245
4/30/2018,2.277
3/30/2018,2.116
2/28/2018,2.237
1/31/2018,2.286
12/29/2017,2.047
11/30/2017,1.879
10/31/2017,1.936
9/29/2017,2.01
8/31/2017,1.782
7/31/2017,1.935
6/30/2017,1.731
5/31/2017,1.372
4/28/2017,1.413
3/31/2017,1.52
2/28/2017,1.45
1/31/2017,1.575
12/30/2016,1.545
11/30/2016,1.415
10/31/2016,1.045
9/30/2016,0.845
8/31/2016,0.85
7/29/2016,0.87
6/30/2016,0.905
5/31/2016,1.17
4/29/2016,1.28
3/31/2016,1.135
2/29/2016,1.025
1/29/2016,1.29
12/31/2015,1.58
11/30/2015,1.59
10/30/2015,1.63
9/30/2015,1.585
8/31/2015,1.69
7/31/2015,1.67
6/30/2015,1.875
5/29/2015,1.785
4/30/2015,1.755
3/31/2015,1.53
2/27/2015,1.475
1/30/2015,1.385
12/31/2014,1.995
11/28/2014,2.105
10/31/2014,2.27
9/30/2014,2.355
8/29/2014,2.205
7/31/2014,2.355
6/30/2014,2.43
5/30/2014,2.4
4/30/2014,2.525
3/31/2014,2.57
2/28/2014,2.52
1/31/2014,2.54
12/31/2013,2.89
11/29/2013,2.675
10/31/2013,2.62
9/30/2013,2.755
8/30/2013,2.795
7/31/2013,2.675
6/28/2013,2.66
5/31/2013,2.1737
4/30/2013,1.9038
3/29/2013,2.0627
2/28/2013,2.0446
1/31/2013,2.1647
12/31/2012,1.974
11/30/2012,1.9043
10/31/2012,1.9244
9/28/2012,1.8954
8/31/2012,1.9023
7/31/2012,1.8482
6/29/2012,1.8972
5/31/2012,1.772
4/30/2012,2.2902
3/30/2012,2.2799
2/29/2012,2.1068
1/31/2012,1.9744
12/30/2011,1.9835
11/30/2011,2.1513
