Security,IRSWMM2 BGN Curncy
Start Date,1/31/2022 0:00
End Date,9/29/2023 0:00
Period,M
Currency,INR
,
Date,PX_LAST
9/29/2023,7.26
8/31/2023,6.98
7/31/2023,6.99
6/30/2023,6.945
5/31/2023,6.69
4/28/2023,6.74
3/31/2023,6.91
2/28/2023,7.22
1/31/2023,6.74
12/30/2022,6.61
11/30/2022,6.52
10/31/2022,6.79
9/30/2022,6.86
8/31/2022,6.38
7/29/2022,6.08
6/30/2022,6.19
5/31/2022,6.35
4/29/2022,6.52
3/31/2022,6
2/28/2022,5.5
1/31/2022,5.46
