Security,SRSW10 BGN Curncy
Start Date,7/31/2001 0:00
End Date,9/29/2023 0:00
Period,M
Currency,SAR
,
Date,PX_LAST
9/29/2023,5.22
8/31/2023,4.896
7/31/2023,4.65
6/30/2023,4.723
5/31/2023,4.535
4/28/2023,4.275
3/31/2023,4.36
2/28/2023,4.784
1/31/2023,4.407
12/30/2022,4.915
11/30/2022,4.49
10/31/2022,4.89
9/30/2022,4.5915
8/31/2022,4.158
7/29/2022,3.72
6/30/2022,3.96
5/31/2022,4.09
4/29/2022,4.035
3/31/2022,3.238
2/28/2022,3.0625
1/31/2022,2.93
12/31/2021,2.8665
11/30/2021,2.77
10/29/2021,2.85
9/30/2021,2.799
8/31/2021,2.63
7/30/2021,2.6
6/30/2021,2.71
5/31/2021,2.7289
4/30/2021,2.665
3/31/2021,3.003
2/26/2021,2.845
1/29/2021,2.665
12/31/2020,2.695
11/30/2020,2.48
10/30/2020,2.545
9/30/2020,2.4938
8/31/2020,2.42
7/31/2020,2.11
6/30/2020,2.1
5/29/2020,2.399
4/30/2020,2.43
3/31/2020,2.464
2/28/2020,2.551
1/31/2020,2.52
12/31/2019,3.039
11/29/2019,2.9
10/31/2019,2.774
9/30/2019,2.6495
8/30/2019,2.435
7/31/2019,3.125
6/28/2019,3.174
5/31/2019,3.15
4/30/2019,3.468
3/29/2019,3.49
2/28/2019,3.9144
1/31/2019,3.96
12/31/2018,4.115
11/30/2018,4.1675
10/31/2018,4.1776
9/28/2018,4.026
8/31/2018,3.91
7/31/2018,4.034
6/29/2018,3.89
5/31/2018,3.831
4/30/2018,3.8853
3/30/2018,3.7166
2/28/2018,3.633
1/31/2018,3.61
12/29/2017,3.75
11/30/2017,3.85
10/31/2017,3.7005
9/29/2017,3.64
8/31/2017,3.6185
7/31/2017,3.87
6/30/2017,3.9535
5/31/2017,3.685
4/28/2017,4.242
3/31/2017,4.07
2/28/2017,4.0665
1/31/2017,4.3225
12/30/2016,4.134
11/30/2016,4.324
10/31/2016,4.425
9/30/2016,4.6805
8/31/2016,4.1868
7/29/2016,3.9235
6/30/2016,3.7105
5/31/2016,3.6345
4/29/2016,3.4875
3/31/2016,3.472
2/29/2016,3.53
1/29/2016,3.9488
12/31/2015,4.092
11/30/2015,3.7388
10/30/2015,3.5039
9/30/2015,3.176
8/31/2015,3.45
7/31/2015,3.09
6/30/2015,3.228
5/29/2015,2.9388
4/30/2015,2.8238
3/31/2015,2.73
2/27/2015,2.76
1/30/2015,2.65
12/31/2014,3.01
11/28/2014,3.1088
10/31/2014,3.25
9/30/2014,3.424
8/29/2014,3.1825
7/31/2014,3.4424
6/30/2014,3.397
5/30/2014,3.37
4/30/2014,3.5825
3/31/2014,3.645
2/28/2014,3.65
1/31/2014,3.61
12/31/2013,4.0738
11/29/2013,3.77
10/31/2013,3.6
9/30/2013,3.68
8/30/2013,3.73
7/31/2013,3.59
6/28/2013,3.52
5/31/2013,3.36
4/30/2013,3.08
3/29/2013,3.165
2/28/2013,3.05
1/31/2013,3.255
12/31/2012,3.0538
11/30/2012,2.85
10/31/2012,2.94
9/28/2012,2.892
8/31/2012,2.87
7/31/2012,2.87
6/29/2012,2.973
5/31/2012,2.975
4/30/2012,3.07
3/30/2012,3.245
2/29/2012,3.0688
1/31/2012,3.055
12/30/2011,3.245
11/30/2011,3.175
10/31/2011,3.21
9/30/2011,3.07
8/31/2011,2.9
7/29/2011,3.495
6/30/2011,3.795
5/31/2011,3.655
4/29/2011,3.43
3/31/2011,4.1425
2/28/2011,4.3925
1/31/2011,4.2425
12/31/2010,4.36
11/30/2010,3.89
10/29/2010,3.705
9/30/2010,3.5445
8/31/2010,3.435
7/30/2010,3.665
6/30/2010,3.68
5/31/2010,3.805
4/30/2010,4.06
3/31/2010,4.3275
2/26/2010,4.31
1/29/2010,4.285
12/31/2009,4.57
11/30/2009,3.86
10/30/2009,4.105
9/30/2009,3.81
8/31/2009,4.07
7/31/2009,4.24
6/30/2009,4.055
5/29/2009,4.32
4/30/2009,3.8315
3/31/2009,3.525
2/27/2009,4.415
1/30/2009,3.6765
12/31/2008,3.533
11/28/2008,3.906
10/31/2008,5.485
9/30/2008,5.55
8/29/2008,5.615
7/31/2008,5.6
6/30/2008,5.6
5/30/2008,4.765
4/30/2008,4.765
3/31/2008,4.56
2/29/2008,4.594
1/31/2008,4.5585
12/31/2007,4.65
11/30/2007,4.6615
10/31/2007,5.1945
9/28/2007,5.14
8/31/2007,5.14
7/31/2007,5.5485
6/29/2007,5.71
5/31/2007,5.578
4/30/2007,5.426
3/30/2007,5.436
2/28/2007,5.445
1/31/2007,5.405
12/29/2006,5.4295
11/30/2006,5.28
10/31/2006,5.678
9/29/2006,5.53
8/31/2006,5.775
7/31/2006,5.925
6/30/2006,6.125
5/31/2006,5.925
4/28/2006,6.105
3/31/2006,5.965
2/28/2006,5.765
1/31/2006,5.745
12/30/2005,5.53
11/30/2005,5.755
10/31/2005,5.625
9/30/2005,5.46
8/31/2005,4.93
7/29/2005,5.205
6/30/2005,4.745
5/31/2005,4.675
4/29/2005,4.94
3/31/2005,5.175
2/28/2005,4.9
1/31/2005,4.8
12/31/2004,4.87
11/30/2004,4.89
10/29/2004,4.72
9/30/2004,4.74
8/31/2004,4.88
7/30/2004,5.31
6/30/2004,5.5
5/31/2004,5.42
4/30/2004,5.27
3/31/2004,4.72
2/27/2004,4.87
1/30/2004,5.27
12/31/2003,5.31
11/28/2003,5.35
10/31/2003,5.45
9/30/2003,5.11
8/29/2003,5.72
7/31/2003,5.59
6/30/2003,4.4
5/30/2003,4.39
4/30/2003,4.93
3/31/2003,5.1
2/28/2003,4.9
1/31/2003,5.16
12/31/2002,5.25
11/29/2002,5.5
7/31/2002,6.02
2/28/2002,6.1
9/28/2001,6.1
7/31/2001,6.1
