Security,CCSWO2 BGN Curncy
Start Date,4/28/2006 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,CNY
,
Date,PX_LAST
9/29/2023,2.13
8/31/2023,2.03
7/31/2023,2.14
6/30/2023,2.11
5/31/2023,2.175
4/28/2023,2.44
3/31/2023,2.4713
2/28/2023,2.595
1/31/2023,2.495
12/30/2022,2.3788
11/30/2022,2.455
10/31/2022,2.105
9/30/2022,2.185
8/31/2022,2.075
7/29/2022,2.185
6/30/2022,2.305
5/31/2022,2.2075
4/29/2022,2.275
3/31/2022,2.265
2/28/2022,2.265
1/31/2022,2.15
12/31/2021,2.2829
11/30/2021,2.385
10/29/2021,2.485
9/30/2021,2.415
8/31/2021,2.3812
7/30/2021,2.42
6/30/2021,2.6251
5/31/2021,2.605
4/30/2021,2.63
3/31/2021,2.675
2/26/2021,2.7991
1/29/2021,2.715
12/31/2020,2.575
11/30/2020,2.71
10/30/2020,2.595
9/30/2020,2.595
8/31/2020,2.585
7/31/2020,2.455
6/30/2020,2.18
5/29/2020,1.77
4/30/2020,1.5
3/31/2020,1.975
2/28/2020,2.315
1/31/2020,2.645
12/31/2019,2.715
11/29/2019,2.73
10/31/2019,2.94
9/30/2019,2.74
8/30/2019,2.7
7/31/2019,2.66
6/28/2019,2.69
5/31/2019,2.81
4/30/2019,2.905
3/29/2019,2.675
2/28/2019,2.7
1/31/2019,2.555
12/31/2018,2.695
11/30/2018,2.835
10/31/2018,2.84
9/28/2018,2.96
8/31/2018,2.91
7/31/2018,2.855
6/29/2018,3.07
5/31/2018,3.33
4/30/2018,3.4
3/30/2018,3.485
2/28/2018,3.64
1/31/2018,3.73
12/29/2017,3.785
11/30/2017,3.72
10/31/2017,3.7
9/29/2017,3.575
8/31/2017,3.635
7/31/2017,3.5
6/30/2017,3.54
5/31/2017,3.67
4/28/2017,3.755
3/31/2017,3.68
2/28/2017,3.505
1/31/2017,3.43
12/30/2016,3.46
11/30/2016,3.255
10/31/2016,2.79
9/30/2016,2.58
8/31/2016,2.53
7/29/2016,2.46
6/30/2016,2.45
5/31/2016,2.63
4/29/2016,2.71
3/31/2016,2.3
2/29/2016,2.3
1/29/2016,2.28
12/31/2015,2.335
11/30/2015,2.4
10/30/2015,2.34
9/30/2015,2.48
8/31/2015,2.44
7/31/2015,2.59
6/30/2015,2.438
5/29/2015,2.51
4/30/2015,2.56
3/31/2015,3.526
2/27/2015,3.29
1/30/2015,3.345
12/31/2014,3.42
11/28/2014,2.85
10/31/2014,3.17
9/30/2014,3.292
8/29/2014,3.68
7/31/2014,3.92
6/30/2014,3.77
5/30/2014,3.55
4/30/2014,3.84
3/31/2014,4.345
2/28/2014,4.395
1/31/2014,4.805
12/31/2013,5.2
11/29/2013,4.54
10/31/2013,4.16
9/30/2013,3.98
8/30/2013,4.14
7/31/2013,3.96
6/28/2013,3.85
5/31/2013,3.33
4/30/2013,3.305
3/29/2013,3.37
2/28/2013,3.33
1/31/2013,3.3
12/31/2012,3.425
11/30/2012,3.46
10/31/2012,3.23
9/28/2012,3.11
8/31/2012,3.09
7/31/2012,2.55
6/29/2012,2.58
5/31/2012,2.51
4/30/2012,3.21
3/30/2012,3.1
2/29/2012,3.27
1/31/2012,3.06
12/30/2011,2.68
11/30/2011,2.9
10/31/2011,3.52
9/30/2011,3.61
8/31/2011,4.28
7/29/2011,4.13
6/30/2011,3.88
5/31/2011,3.61
4/29/2011,3.68
3/31/2011,3.63
2/28/2011,3.86
1/31/2011,3.84
12/31/2010,3.36
11/30/2010,3.39
10/29/2010,2.64
9/30/2010,2.38
8/31/2010,2.21
7/30/2010,2.32
6/30/2010,2.54
5/31/2010,2.47
4/30/2010,2.55
3/31/2010,2.78
2/26/2010,2.86
1/29/2010,2.9
12/31/2009,2.73
11/30/2009,2.5
10/30/2009,2.7
9/30/2009,2.4125
8/31/2009,2.32
7/31/2009,2.51
6/30/2009,1.96
5/29/2009,1.61
4/30/2009,1.64
3/31/2009,1.415
2/27/2009,1.345
1/30/2009,1.1
12/31/2008,1.075
11/28/2008,1.62
10/31/2008,2.375
9/30/2008,2.991
8/29/2008,3.34
7/31/2008,3.588
6/30/2008,3.975
5/30/2008,3.33
4/30/2008,3.2113
3/31/2008,3.1463
2/29/2008,3.43
1/31/2008,3.35
12/31/2007,3.675
11/30/2007,3.6
10/31/2007,3.5725
9/28/2007,3.5738
8/31/2007,3.4001
7/31/2007,3.525
6/29/2007,3.5572
5/31/2007,3.4033
4/30/2007,3.1
3/30/2007,2.85
2/28/2007,2.7858
1/31/2007,2.845
12/29/2006,2.9032
11/30/2006,2.9326
10/31/2006,2.7613
9/29/2006,2.7854
8/31/2006,2.9248
7/31/2006,2.9834
6/30/2006,2.8641
5/31/2006,2.5682
4/28/2006,2.5976
