Security,TYSO2 BGN Curncy
Start Date,12/31/2007 0:00
End Date,9/29/2023 0:00
Period,M
Currency,TRY
,
Date,PX_LAST
9/29/2023,37.2
8/31/2023,32.5
7/31/2023,25.9
6/30/2023,25.6
5/31/2023,29.95
4/28/2023,31.9
3/31/2023,29.05
2/28/2023,22.55
1/31/2023,23.8
12/30/2022,24.595
11/30/2022,22.798
10/31/2022,23.68
9/30/2022,25.3
8/31/2022,28.65
7/29/2022,37
6/30/2022,35.1
5/31/2022,31.95
4/29/2022,26.65
3/31/2022,26.55
2/28/2022,23.8
1/31/2022,23.22
12/31/2021,25.82
11/30/2021,21.45
10/29/2021,17.97
9/30/2021,17.32
8/31/2021,17.63
7/30/2021,18
6/30/2021,17.98
5/31/2021,18.5
4/30/2021,18.35
3/31/2021,19.64
2/26/2021,16.15
1/29/2021,15.58
12/31/2020,15.27
11/30/2020,14.85
10/30/2020,17.05
9/30/2020,14.55
8/31/2020,13.8
7/31/2020,12.38
6/30/2020,10.25
5/29/2020,9.8
4/30/2020,10.2
3/31/2020,11.35
2/28/2020,12.13
1/31/2020,9.8
12/31/2019,11
11/29/2019,11.91
10/31/2019,11.8189
1/31/2013,5.86
12/31/2012,5.7
11/30/2012,5.69
10/31/2012,6.31
9/28/2012,6.52
8/31/2012,6.56
7/31/2012,16.2
6/29/2012,7.62
5/31/2012,8.57
4/30/2012,8.34
3/30/2012,8.26
2/29/2012,8.02
1/31/2012,8.2
12/30/2011,16.2
11/30/2011,8.51
10/31/2011,8.41
9/30/2011,6.44
8/31/2011,6.72
7/29/2011,8.38
6/30/2011,8.79
5/31/2011,8.48
4/29/2011,8.31
3/31/2011,8.63
2/28/2011,16.2
1/31/2011,11.55
12/31/2010,6.9
11/30/2010,7.74
10/29/2010,16
9/30/2010,8.14
8/31/2010,8.44
7/30/2010,8.12
6/30/2010,8.5
5/31/2010,8.9
4/30/2010,9.58
3/31/2010,9.29
2/26/2010,9.55
1/29/2010,9.7
12/31/2009,9.7
11/30/2009,9.55
10/30/2009,9.5
9/30/2009,9.75
8/31/2009,16.2
7/31/2009,10.7
6/30/2009,12.2
5/29/2009,11.8
4/30/2009,11.75
3/31/2009,16.2
2/27/2009,16.2
1/30/2009,16.2
12/31/2008,16
11/28/2008,16
10/31/2008,16
9/30/2008,16.2
8/29/2008,16
7/31/2008,16
6/30/2008,16
5/30/2008,16
4/30/2008,16
3/31/2008,16
2/29/2008,16
1/31/2008,16
12/31/2007,16
