Security,CN1 Comdty,
4/30/2012,133.70798,661783
3/30/2012,131.38767,222174
2/29/2012,135.73528,744775
1/31/2012,134.00717,562577
12/30/2011,131.65453,113919
11/30/2011,130.89231,543824
10/31/2011,131.95659,517904
9/30/2011,127.81037,209772
8/31/2011,133.89969,752598
7/29/2011,133.34728,482965
6/30/2011,128.59365,227488
5/31/2011,127.57588,675415
4/29/2011,128.22946,496047
3/31/2011,123.73685,166211
2/28/2011,124.90752,545107
1/31/2011,121.01796,401862
12/31/2010,123.2626,85148
11/30/2010,120.62177,541718
10/29/2010,124.23587,351256
9/30/2010,122.89157,148591
8/31/2010,119.61189,470163
7/30/2010,120.53875,336995
6/30/2010,116.60075,119216
5/31/2010,115.19229,687004
4/30/2010,115.82571,422051
3/31/2010,115.6967,146957
2/26/2010,114.42253,428103
1/29/2010,113.30895,372997
12/31/2009,111.58034,138183
11/30/2009,122.82,419651
10/30/2009,120.55,406517
9/30/2009,121.36,122947
8/31/2009,122,336188
7/31/2009,120.45,281964
6/30/2009,121.26,112320
5/29/2009,121.28,422763
4/30/2009,123.87,387586
3/31/2009,126.7,126180
2/27/2009,125.27,436281
1/30/2009,124.02,353491
12/31/2008,126.76,63093
11/28/2008,121.64,441355
10/31/2008,117.19,571615
9/30/2008,117.17,190173
8/29/2008,120.21,550887
7/31/2008,118.72,518324
6/30/2008,117.47,149433
5/30/2008,117.33,644216
4/30/2008,118.29,484586
3/31/2008,119.78,177559
2/29/2008,118.55,600015
1/31/2008,116.15,537579
12/31/2007,114.92,126505
11/30/2007,115.61,711806
10/31/2007,112.79,519078
9/28/2007,112.43,206545
8/31/2007,112.13,815920
7/31/2007,111.07,598587
6/29/2007,110.82,194983
5/31/2007,110.55,914047
4/30/2007,113.03,490876
3/30/2007,113.35,224136
2/28/2007,114.42,864509
1/31/2007,113.04,542882
12/29/2006,113.82,169646
11/30/2006,115.84,747084
10/31/2006,114.85,478332
9/29/2006,115.14,189598
8/31/2006,114.64,668141
7/31/2006,112.67,404180
6/30/2006,110.33,177466
5/31/2006,110.6,728346
4/28/2006,110.25,403209
3/31/2006,111.72,160522
2/28/2006,113.23,502302
1/31/2006,112.92,389224
12/30/2005,114.38,78017
11/30/2005,114.39,448564
10/31/2005,113.52,311136
9/30/2005,115.05,112401
8/31/2005,117.29,400794
7/29/2005,115.83,281178
6/30/2005,116.49,101491
5/31/2005,114.7,372667
4/29/2005,112.97,215333
3/31/2005,111.52,90908
2/28/2005,112.61,277299
1/31/2005,112.95,188645
12/31/2004,112.16,38595
11/30/2004,111.45,320257
10/29/2004,111.14,178219
9/30/2004,109.85,64860
8/31/2004,110.48,230707
7/30/2004,108.51,147758
6/30/2004,107.4,57894
5/31/2004,108.62,229426
4/30/2004,109.59,192382
3/31/2004,111.74,57006
2/27/2004,112.08,180626
1/30/2004,110.56,136530
12/31/2003,109.28,30511
11/28/2003,108.61,174147
10/31/2003,108.31,148636
9/30/2003,110.32,46943
8/29/2003,108.55,122717
7/31/2003,107.65,141450
6/30/2003,110.92,50056
5/30/2003,111.21,179799
4/30/2003,107.36,164463
3/31/2003,105.7,63104
2/28/2003,107.52,211681
1/31/2003,106.64,140150
12/31/2002,108.13,22591
11/29/2002,106.41,139067
10/31/2002,106.64,134369
9/30/2002,107.33,63162
8/30/2002,106.63,150447
7/31/2002,104.86,100787
6/28/2002,103.17,43832
5/31/2002,103.3,114840
4/30/2002,102.02,108829
3/29/2002,100.15,38343
2/28/2002,104.45,66510
1/31/2002,103.23,92478
12/31/2001,103.46,27611
11/30/2001,105.56,116993
10/31/2001,107.61,104958
9/28/2001,104.3,28294
8/31/2001,104.44,70818
7/31/2001,102.37,81131
6/29/2001,99.98,33768
5/31/2001,101,76936
4/30/2001,101.31,101882
3/30/2001,103.8,46739
2/28/2001,104.7,80234
1/31/2001,104.17,99797
12/29/2000,104.07,21539
11/30/2000,103.41,74904
10/31/2000,100.93,99272
9/29/2000,101.62,21719
8/31/2000,101.9,129460
7/31/2000,100.62,77836
6/30/2000,100.82,45698
5/31/2000,99.27,119564
4/28/2000,98.51,84911
3/31/2000,100,46960
2/29/2000,119.49,127794
1/31/2000,116.42,79628
12/31/1999,118.5,14431
11/30/1999,120.16,102051
10/29/1999,120.76,93240
9/30/1999,122.92,48523
8/31/1999,123.55,118319
7/30/1999,123.85,116736
6/30/1999,125.75,39265
5/31/1999,123.86,159139
4/30/1999,125.59,159355
3/31/1999,126.56,56504
2/26/1999,124.79,128680
1/29/1999,128.66,105191
12/31/1998,128.84,49652
11/30/1998,127.18,109458
10/30/1998,126.55,131169
9/30/1998,127.77,85993
8/31/1998,122.41,174474
7/31/1998,124.05,160164
6/30/1998,125.26,43057
5/29/1998,126.07,101529
4/30/1998,125.58,122596
3/31/1998,125.63,57663
2/27/1998,125.35,117908
1/30/1998,125.99,108700
12/31/1997,124.03,32696
11/28/1997,121.44,103882
10/31/1997,122.93,117855
9/30/1997,120.62,57234
8/29/1997,119.72,97193
7/31/1997,121.15,69651
6/30/1997,116.82,35964
5/30/1997,116.6,103033
4/30/1997,115.14,95098
3/31/1997,113.95,34719
2/28/1997,117.76,84918
1/31/1997,116.14,64989
12/31/1996,116.78,22170
11/29/1996,119.88,92267
10/31/1996,116.88,78242
9/30/1996,111.64,30326
8/30/1996,110,81938
7/31/1996,108.74,68262
6/28/1996,108.09,28112
5/31/1996,108.14,93079
4/30/1996,107.23,62946
3/29/1996,108.04,42892
2/29/1996,109.5,106244
1/31/1996,112.53,90697
12/29/1995,112.15,23743
11/30/1995,111.65,63077
10/31/1995,109.07,61039
9/29/1995,107.45,41989
8/31/1995,106.65,77416
7/31/1995,103.3,62212
6/30/1995,106.4,33987
5/31/1995,106.98,84214
4/28/1995,104.17,44386
3/31/1995,102.50994,36656
2/28/1995,102.42,114012
1/31/1995,98.44,104142
12/30/1994,98.44,45033
11/30/1994,98.9,105769
10/31/1994,98.72,118273
9/30/1994,100.05,53940
8/31/1994,101.5,130762
7/29/1994,98.45,96183
6/30/1994,97.54,58395
5/31/1994,101.54,132847
4/29/1994,104.46,134068
3/31/1994,105.17,51249
2/28/1994,112.03994,107575
1/31/1994,116.47994,95824
12/31/1993,114,16418
11/30/1993,112.7,104456
10/29/1993,112.81,90504
9/30/1993,109.53994,48809
8/31/1993,112.59994,116047
7/30/1993,109.98994,123402
6/30/1993,108.01994,65495
5/31/1993,107.22,172842
4/30/1993,106.25,137080
3/31/1993,106.45,43928
2/26/1993,106.47,60803
1/29/1993,103.29,117670
12/31/1992,103.58,44667
11/30/1992,102.45,157350
10/30/1992,106.57,133938
9/30/1992,103.56,62764
8/31/1992,107.63,83161
7/31/1992,107.42,75781
6/30/1992,102.39,39115
5/29/1992,101.07,51191
4/30/1992,98.24,67943
3/31/1992,98.25,24874
2/28/1992,101.23,65668
1/31/1992,101.5,123374
12/31/1991,103.15,24927
11/29/1991,101.1,68402
10/31/1991,100.66,21130
9/30/1991,98.15,3914
8/30/1991,94.98,2455
7/31/1991,93.54,5938
6/28/1991,92.57,17533
5/31/1991,95.15,32388
4/30/1991,95.46,43379
3/29/1991,95.45,15269
2/28/1991,95.25,56829
1/31/1991,93.3,#N/A N/A
12/31/1990,91.80994,#N/A N/A
11/30/1990,90.19994,#N/A N/A
10/31/1990,88.16,#N/A N/A
9/28/1990,87.89994,#N/A N/A
8/31/1990,89.97994,#N/A N/A
7/31/1990,91.19994,#N/A N/A
6/29/1990,90.02994,#N/A N/A
5/31/1990,88.6,#N/A N/A
4/30/1990,85.11994,#N/A N/A
3/30/1990,87.47994,#N/A N/A
2/28/1990,90,#N/A N/A
1/31/1990,94.11,#N/A N/A
12/29/1989,96.21,#N/A N/A
11/30/1989,95.41994,#N/A N/A
10/31/1989,96.83994,#N/A N/A
9/29/1989,95.3,#N/A N/A
