Security,CN1 Comdty,
Start Date,9/29/1989 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,84.99815,815340
8/31/2023,88.22531,2563497
7/31/2023,91.22674,2199492
6/30/2023,92.62227,840322
5/31/2023,90.09115,2533507
4/28/2023,93.03424,1834068
3/31/2023,93.29291,822258
2/28/2023,89.45436,2793532
1/31/2023,94.77556,2202325
12/30/2022,90.5765,613665
11/30/2022,93.05453,2475755
10/31/2022,90.20456,2369974
9/30/2022,90.15903,1225340
8/31/2022,95.92974,2784000
7/29/2022,101.81861,2322693
6/30/2022,96.32536,891158
5/31/2022,99.62796,2719535
4/29/2022,98.58781,2123795
3/31/2022,104.59862,813219
2/28/2022,108.96122,2900583
1/31/2022,109.54481,2216984
12/31/2021,112.752,485072
11/30/2021,111.48385,2646898
10/29/2021,113.70603,2431377
9/30/2021,112.18652,948868
8/31/2021,117.22636,2726362
7/30/2021,118.64529,2058024
6/30/2021,117.27917,634075
5/31/2021,116.02585,2836412
4/30/2021,113.42069,2266342
3/31/2021,110.37143,683119
2/26/2021,111.39868,3054093
1/29/2021,115.29329,2590932
12/31/2020,116.77632,628338
11/30/2020,116.07459,2509090
10/30/2020,113.23188,2158097
9/30/2020,114.04853,605692
8/31/2020,117.10627,2244742
7/31/2020,115.31867,1789936
6/30/2020,112.97004,526238
5/29/2020,108.22047,2106560
4/30/2020,107.25106,1642701
3/31/2020,103.72198,704895
2/28/2020,107.20667,2668283
1/31/2020,107.42784,2501889
12/31/2019,105.93312,472915
11/29/2019,106.36952,2237123
10/31/2019,107.91673,2363254
9/30/2019,107.69579,643690
8/30/2019,110.02932,2736908
7/31/2019,108.22876,1963697
6/28/2019,109.1652,591328
5/31/2019,104.1186,2805352
4/30/2019,103.03482,1951866
3/29/2019,104.01736,871886
2/28/2019,104.07295,2375613
1/31/2019,104.70105,2070889
12/31/2018,100.38902,578277
11/30/2018,101.11996,2458595
10/31/2018,100.4332,2413386
9/28/2018,102.49633,583601
8/31/2018,104.22632,2203367
7/31/2018,103.59751,1517079
6/29/2018,104.00152,630935
5/31/2018,102.08398,2422291
4/30/2018,102.49513,1589409
3/30/2018,103.29406,643234
2/28/2018,103.9182,2279549
1/31/2018,107.35569,1528200
12/29/2017,107.5916,453545
11/30/2017,107.13123,1678354
10/31/2017,106.55967,1266627
9/29/2017,108.37872,461167
8/31/2017,111.67971,1793382
7/31/2017,109.93754,1400790
6/30/2017,108.19029,713962
5/31/2017,104.32884,2333700
4/28/2017,102.21929,1606305
3/31/2017,103.22484,537796
2/28/2017,104.72963,1866617
1/31/2017,105.41494,1528557
12/30/2016,102.25279,305975
11/30/2016,104.86986,1979865
10/31/2016,107.88512,1438900
9/30/2016,112.00732,508711
8/31/2016,113.14186,1493780
7/29/2016,113.60367,948563
6/30/2016,114.06118,412270
5/31/2016,108.28371,1644611
4/29/2016,110.82265,1475954
3/31/2016,108.7238,427562
2/29/2016,105.85236,1707424
1/29/2016,101.78864,1420429
12/31/2015,101.95979,222956
11/30/2015,105.14491,1340050
10/30/2015,107.44876,1256288
9/30/2015,105.82923,413433
8/31/2015,108.3182,1514761
7/31/2015,109.72393,1217983
6/30/2015,112.15253,405449
5/29/2015,112.54814,1344016
4/30/2015,115.97883,964096
3/31/2015,112.58874,292045
2/27/2015,116.17236,1414790
1/30/2015,114.4923,1281068
12/31/2014,119.25958,190436
11/28/2014,121.74331,1175303
10/31/2014,121.50204,1200779
9/30/2014,120.87794,304224
8/29/2014,127.85346,1117620
7/31/2014,125.6655,930449
6/30/2014,127.48922,349210
5/30/2014,122.12699,1268373
4/30/2014,119.59817,896913
3/31/2014,117.70088,323001
2/28/2014,119.48593,1023198
1/31/2014,118.29883,1062240
12/31/2013,119.25104,245153
11/29/2013,122.43554,1146742
10/31/2013,125.94688,970106
9/30/2013,125.91298,326989
8/30/2013,123.69871,963298
7/31/2013,127.86742,806063
6/28/2013,124.83139,435735
5/31/2013,128.2445,1470036
4/30/2013,135.73556,818719
3/29/2013,132.82833,319649
2/28/2013,131.54265,894701
1/31/2013,134.08544,800870
12/31/2012,136.2348,192520
11/30/2012,139.02316,834500
10/31/2012,137.11113,650836
9/28/2012,139.55474,228446
8/31/2012,140.04867,773898
7/31/2012,138.59352,572582
6/29/2012,135.92185,216418
5/31/2012,131.24879,903135
